r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,AGRDSL,DEMAGRDSL,2020,1,RE1,S11,RE1,1.0769
RE1,AGRDSL,DEMAGRDSL,2021,1,RE1,S11,RE1,1.0177
RE1,AGRDSL,DEMAGRDSL,2022,1,RE1,S11,RE1,1.1274
RE1,AGRDSL,DEMAGRDSL,2023,1,RE1,S11,RE1,1.0709
RE1,AGRDSL,DEMAGRDSL,2024,1,RE1,S11,RE1,1.1387
RE1,AGRDSL,DEMAGRDSL,2025,1,RE1,S11,RE1,1.1411
RE1,AGRDSL,DEMAGRDSL,2026,1,RE1,S11,RE1,1.1779
RE1,AGRDSL,DEMAGRDSL,2027,1,RE1,S11,RE1,1.2628
RE1,AGRDSL,DEMAGRDSL,2028,1,RE1,S11,RE1,1.2893
RE1,AGRDSL,DEMAGRDSL,2029,1,RE1,S11,RE1,1.3201
RE1,AGRDSL,DEMAGRDSL,2030,1,RE1,S11,RE1,1.3457
RE1,AGRDSL,DEMAGRDSL,2031,1,RE1,S11,RE1,1.3735
RE1,AGRDSL,DEMAGRDSL,2032,1,RE1,S11,RE1,1.3973
RE1,AGRDSL,DEMAGRDSL,2033,1,RE1,S11,RE1,1.421
RE1,AGRDSL,DEMAGRDSL,2034,1,RE1,S11,RE1,1.4463
RE1,AGRDSL,DEMAGRDSL,2035,1,RE1,S11,RE1,1.4727
RE1,AGRDSL,DEMAGRDSL,2036,1,RE1,S11,RE1,1.4946
RE1,AGRDSL,DEMAGRDSL,2037,1,RE1,S11,RE1,1.5089
RE1,AGRDSL,DEMAGRDSL,2038,1,RE1,S11,RE1,1.5265
RE1,AGRDSL,DEMAGRDSL,2039,1,RE1,S11,RE1,1.5438
RE1,AGRDSL,DEMAGRDSL,2040,1,RE1,S11,RE1,1.5684
RE1,AGRDSL,DEMAGRDSL,2041,1,RE1,S11,RE1,1.5932
RE1,AGRDSL,DEMAGRDSL,2042,1,RE1,S11,RE1,1.6195
RE1,AGRDSL,DEMAGRDSL,2043,1,RE1,S11,RE1,1.6471
RE1,AGRDSL,DEMAGRDSL,2044,1,RE1,S11,RE1,1.6821
RE1,AGRDSL,DEMAGRDSL,2045,1,RE1,S11,RE1,1.7178
RE1,AGRDSL,DEMAGRDSL,2046,1,RE1,S11,RE1,1.7556
RE1,AGRDSL,DEMAGRDSL,2047,1,RE1,S11,RE1,1.7959
RE1,AGRDSL,DEMAGRDSL,2048,1,RE1,S11,RE1,1.8373
RE1,AGRDSL,DEMAGRDSL,2049,1,RE1,S11,RE1,1.8787
RE1,AGRDSL,DEMAGRDSL,2050,1,RE1,S11,RE1,1.925
RE1,AGRWAT,DEMAGRSURWAT,2020,1,RE1,S11,RE1,0.2214
RE1,AGRWAT,DEMAGRSURWAT,2022,1,RE1,S11,RE1,0.3153
RE1,AGRWAT,DEMAGRSURWAT,2023,1,RE1,S11,RE1,0.0025
RE1,AGRWAT,DEMAGRSURWAT,2024,1,RE1,S11,RE1,0.1698
RE1,AGRWAT,DEMAGRSURWAT,2025,1,RE1,S11,RE1,0.0355
RE1,AGRWAT,DEMAGRSURWAT,2026,1,RE1,S11,RE1,0.0552
RE1,AGRWAT,DEMAGRSURWAT,2027,1,RE1,S11,RE1,0.2931
RE1,AGRWAT,DEMAGRSURWAT,2028,1,RE1,S11,RE1,0.288
RE1,AGRWAT,DEMAGRSURWAT,2029,1,RE1,S11,RE1,0.3196
RE1,AGRWAT,DEMAGRSURWAT,2030,1,RE1,S11,RE1,0.3836
RE1,AGRWAT,DEMAGRSURWAT,2031,1,RE1,S11,RE1,0.4975
RE1,AGRWAT,DEMAGRSURWAT,2032,1,RE1,S11,RE1,0.6487
RE1,AGRWAT,DEMAGRSURWAT,2033,1,RE1,S11,RE1,0.8277
RE1,AGRWAT,DEMAGRSURWAT,2034,1,RE1,S11,RE1,1.0234
RE1,AGRWAT,DEMAGRSURWAT,2035,1,RE1,S11,RE1,1.2212
RE1,AGRWAT,DEMAGRSURWAT,2036,1,RE1,S11,RE1,1.5122
RE1,AGRWAT,DEMAGRSURWAT,2037,1,RE1,S11,RE1,1.8575
RE1,AGRWAT,DEMAGRSURWAT,2038,1,RE1,S11,RE1,2.1805
RE1,AGRWAT,DEMAGRSURWAT,2039,1,RE1,S11,RE1,2.5382
RE1,AGRWAT,DEMAGRSURWAT,2040,1,RE1,S11,RE1,2.825
RE1,AGRWAT,DEMAGRSURWAT,2041,1,RE1,S11,RE1,3.1215
RE1,AGRWAT,DEMAGRSURWAT,2042,1,RE1,S11,RE1,3.4172
RE1,AGRWAT,DEMAGRSURWAT,2043,1,RE1,S11,RE1,3.7191
RE1,AGRWAT,DEMAGRSURWAT,2044,1,RE1,S11,RE1,4.0484
RE1,AGRWAT,DEMAGRSURWAT,2045,1,RE1,S11,RE1,4.3387
RE1,AGRWAT,DEMAGRSURWAT,2046,1,RE1,S11,RE1,4.5987
RE1,AGRWAT,DEMAGRSURWAT,2047,1,RE1,S11,RE1,4.8259
RE1,AGRWAT,DEMAGRSURWAT,2048,1,RE1,S11,RE1,5.0335
RE1,AGRWAT,DEMAGRSURWAT,2049,1,RE1,S11,RE1,5.2432
RE1,AGRWAT,DEMAGRSURWAT,2050,1,RE1,S11,RE1,5.4594
RE1,DEMINDCOA,DEMINDCOA,2020,1,RE1,S11,RE1,1.2165
RE1,DEMINDCOA,DEMINDCOA,2021,1,RE1,S11,RE1,1.2927
RE1,DEMINDCOA,DEMINDCOA,2022,1,RE1,S11,RE1,1.4705
RE1,DEMINDCOA,DEMINDCOA,2023,1,RE1,S11,RE1,1.6484
RE1,DEMINDCOA,DEMINDCOA,2024,1,RE1,S11,RE1,1.8262
RE1,DEMINDCOA,DEMINDCOA,2025,1,RE1,S11,RE1,2.0041
RE1,DEMINDCOA,DEMINDCOA,2026,1,RE1,S11,RE1,2.1819
RE1,DEMINDCOA,DEMINDCOA,2027,1,RE1,S11,RE1,2.3597
RE1,DEMINDCOA,DEMINDCOA,2028,1,RE1,S11,RE1,2.5376
RE1,DEMINDCOA,DEMINDCOA,2029,1,RE1,S11,RE1,2.7154
RE1,DEMINDCOA,DEMINDCOA,2030,1,RE1,S11,RE1,2.8933
RE1,DEMINDCOA,DEMINDCOA,2031,1,RE1,S11,RE1,3.0711
RE1,DEMINDCOA,DEMINDCOA,2032,1,RE1,S11,RE1,3.2489
RE1,DEMINDCOA,DEMINDCOA,2033,1,RE1,S11,RE1,3.4268
RE1,DEMINDCOA,DEMINDCOA,2034,1,RE1,S11,RE1,3.6046
RE1,DEMINDCOA,DEMINDCOA,2035,1,RE1,S11,RE1,3.7824
