REGION,COMMODITY,YEAR,VALUE
RE1,DEMRESBIO,2020,1552.323
RE1,DEMRESBIO,2021,1593.28
RE1,DEMRESBIO,2022,1610.633191
RE1,DEMRESBIO,2023,1628.061351
RE1,DEMRESBIO,2024,1645.543413
RE1,DEMRESBIO,2025,1663.060785
RE1,DEMRESBIO,2026,1679.500122
RE1,DEMRESBIO,2027,1695.972322
RE1,DEMRESBIO,2028,1712.437442
RE1,DEMRESBIO,2029,1728.854067
RE1,DEMRESBIO,2030,1745.193988
RE1,DEMRESBIO,2031,1736.742413
RE1,DEMRESBIO,2032,1728.527883
RE1,DEMRESBIO,2033,1720.497894
RE1,DEMRESBIO,2034,1712.617674
RE1,DEMRESBIO,2035,1724.830696
RE1,DEMRESBIO,2036,1719.215182
RE1,DEMRESBIO,2037,1713.51068
RE1,DEMRESBIO,2038,1707.743885
RE1,DEMRESBIO,2039,1701.945954
RE1,DEMRESBIO,2040,1696.141191
RE1,DEMRESBIO,2041,1683.565962
RE1,DEMRESBIO,2042,1671.040332
RE1,DEMRESBIO,2043,1658.58204
RE1,DEMRESBIO,2044,1646.208318
RE1,DEMRESBIO,2045,1633.930366
RE1,DEMRESBIO,2046,1621.740087
RE1,DEMRESBIO,2047,1609.648251
RE1,DEMRESBIO,2048,1597.653932
RE1,DEMRESBIO,2049,1585.754133
RE1,DEMRESBIO,2050,1573.9451
RE1,DEMINDCOA,2020,9.43
RE1,DEMINDCOA,2021,10.021
RE1,DEMINDCOA,2022,11.39958621
RE1,DEMINDCOA,2023,12.77817241
RE1,DEMINDCOA,2024,14.15675862
RE1,DEMINDCOA,2025,15.53534483
RE1,DEMINDCOA,2026,16.91393103
RE1,DEMINDCOA,2027,18.29251724
RE1,DEMINDCOA,2028,19.67110345
RE1,DEMINDCOA,2029,21.04968966
RE1,DEMINDCOA,2030,22.42827586
RE1,DEMINDCOA,2031,23.80686207
RE1,DEMINDCOA,2032,25.18544828
RE1,DEMINDCOA,2033,26.56403448
RE1,DEMINDCOA,2034,27.94262069
RE1,DEMINDCOA,2035,29.3212069
RE1,DEMINDCOA,2036,30.6997931
RE1,DEMINDCOA,2037,32.07837931
RE1,DEMINDCOA,2038,33.45696552
RE1,DEMINDCOA,2039,34.83555172
RE1,DEMINDCOA,2040,36.21413793
RE1,DEMINDCOA,2041,37.59272414
RE1,DEMINDCOA,2042,38.97131034
RE1,DEMINDCOA,2043,40.34989655
RE1,DEMINDCOA,2044,41.72848276
RE1,DEMINDCOA,2045,43.10706897
RE1,DEMINDCOA,2046,44.48565517
RE1,DEMINDCOA,2047,45.86424138
RE1,DEMINDCOA,2048,47.24282759
RE1,DEMINDCOA,2049,48.62141379
RE1,DEMINDCOA,2050,50.0
RE1,CRPTEF,2020,6.013
RE1,CRPTEF,2021,6.169338
RE1,CRPTEF,2022,6.329740788
RE1,CRPTEF,2023,6.494314048
RE1,CRPTEF,2024,6.663166214
RE1,CRPTEF,2025,6.836408535
RE1,CRPTEF,2026,7.014155157
RE1,CRPTEF,2027,7.196523191
RE1,CRPTEF,2028,7.383632794
RE1,CRPTEF,2029,7.575607247
RE1,CRPTEF,2030,7.772573035
RE1,CRPTEF,2031,7.974659934
RE1,CRPTEF,2032,8.182001093
RE1,CRPTEF,2033,8.394733121
RE1,CRPTEF,2034,8.612996182
RE1,CRPTEF,2035,8.836934083
RE1,CRPTEF,2036,9.066694369
RE1,CRPTEF,2037,9.302428423
RE1,CRPTEF,2038,9.544291562
RE1,CRPTEF,2039,9.792443142
RE1,CRPTEF,2040,10.04704666
RE1,CRPTEF,2041,10.30826988
