INDICATOR,VALUE,UNIT,YEAR
BHI,121.159,%,2020
BHI,120.956,%,2021
BHI,120.829,%,2022
BHI,120.698,%,2023
BHI,120.564,%,2024
BHI,120.425,%,2025
BHI,120.283,%,2026
BHI,120.136,%,2027
BHI,119.985,%,2028
BHI,119.829,%,2029
BHI,119.668,%,2030
BHI,119.503,%,2031
BHI,119.332,%,2032
BHI,119.156,%,2033
BHI,118.975,%,2034
BHI,118.788,%,2035
BHI,118.595,%,2036
BHI,118.396,%,2037
BHI,118.19,%,2038
BHI,117.978,%,2039
BHI,117.759,%,2040
BHI,117.533,%,2041
BHI,117.3,%,2042
BHI,117.059,%,2043
BHI,116.81,%,2044
BHI,116.553,%,2045
BHI,116.287,%,2046
BHI,116.012,%,2047
BHI,115.728,%,2048
BHI,115.423,%,2049
BHI,114.985,%,2050
