REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
RE1,PWRGEO,S11,2020,0.85
RE1,PWRGEO,S11,2021,0.85
RE1,PWRGEO,S11,2022,0.85
RE1,PWRGEO,S11,2023,0.85
RE1,PWRGEO,S11,2024,0.85
RE1,PWRGEO,S11,2025,0.85
RE1,PWRGEO,S11,2026,0.85
RE1,PWRGEO,S11,2027,0.85
RE1,PWRGEO,S11,2028,0.85
RE1,PWRGEO,S11,2029,0.85
RE1,PWRGEO,S11,2030,0.85
RE1,PWRGEO,S11,2031,0.85
RE1,PWRGEO,S11,2032,0.85
RE1,PWRGEO,S11,2033,0.85
RE1,PWRGEO,S11,2034,0.85
RE1,PWRGEO,S11,2035,0.85
RE1,PWRGEO,S11,2036,0.85
RE1,PWRGEO,S11,2037,0.85
RE1,PWRGEO,S11,2038,0.85
RE1,PWRGEO,S11,2039,0.85
RE1,PWRGEO,S11,2040,0.85
RE1,PWRGEO,S11,2041,0.85
RE1,PWRGEO,S11,2042,0.85
RE1,PWRGEO,S11,2043,0.85
RE1,PWRGEO,S11,2044,0.85
RE1,PWRGEO,S11,2045,0.85
RE1,PWRGEO,S11,2046,0.85
RE1,PWRGEO,S11,2047,0.85
RE1,PWRGEO,S11,2048,0.85
RE1,PWRGEO,S11,2049,0.85
RE1,PWRGEO,S11,2050,0.85
RE1,PWRGEO,S12,2020,0.85
RE1,PWRGEO,S12,2021,0.85
RE1,PWRGEO,S12,2022,0.85
RE1,PWRGEO,S12,2023,0.85
RE1,PWRGEO,S12,2024,0.85
RE1,PWRGEO,S12,2025,0.85
RE1,PWRGEO,S12,2026,0.85
RE1,PWRGEO,S12,2027,0.85
RE1,PWRGEO,S12,2028,0.85
RE1,PWRGEO,S12,2029,0.85
RE1,PWRGEO,S12,2030,0.85
RE1,PWRGEO,S12,2031,0.85
RE1,PWRGEO,S12,2032,0.85
RE1,PWRGEO,S12,2033,0.85
RE1,PWRGEO,S12,2034,0.85
RE1,PWRGEO,S12,2035,0.85
RE1,PWRGEO,S12,2036,0.85
RE1,PWRGEO,S12,2037,0.85
RE1,PWRGEO,S12,2038,0.85
RE1,PWRGEO,S12,2039,0.85
RE1,PWRGEO,S12,2040,0.85
RE1,PWRGEO,S12,2041,0.85
RE1,PWRGEO,S12,2042,0.85
RE1,PWRGEO,S12,2043,0.85
RE1,PWRGEO,S12,2044,0.85
RE1,PWRGEO,S12,2045,0.85
RE1,PWRGEO,S12,2046,0.85
RE1,PWRGEO,S12,2047,0.85
RE1,PWRGEO,S12,2048,0.85
RE1,PWRGEO,S12,2049,0.85
RE1,PWRGEO,S12,2050,0.85
RE1,PWRGEO,S21,2020,0.85
RE1,PWRGEO,S21,2021,0.85
RE1,PWRGEO,S21,2022,0.85
RE1,PWRGEO,S21,2023,0.85
RE1,PWRGEO,S21,2024,0.85
RE1,PWRGEO,S21,2025,0.85
