REGION,TECHNOLOGY,YEAR,VALUE
RE1,IMPCOA,2020,0.001
RE1,IMPCOA,2021,0.001
RE1,IMPCOA,2022,0.001
RE1,IMPCOA,2023,0.001
RE1,IMPCOA,2024,0.001
RE1,IMPCOA,2025,0.001
RE1,IMPCOA,2026,0.001
RE1,IMPCOA,2027,0.001
RE1,IMPCOA,2028,0.001
RE1,IMPCOA,2029,0.001
RE1,IMPCOA,2030,0.001
RE1,IMPCOA,2031,0.001
RE1,IMPCOA,2032,0.001
RE1,IMPCOA,2033,0.001
RE1,IMPCOA,2034,0.001
RE1,IMPCOA,2035,0.001
RE1,IMPCOA,2036,0.001
RE1,IMPCOA,2037,0.001
RE1,IMPCOA,2038,0.001
RE1,IMPCOA,2039,0.001
RE1,IMPCOA,2040,0.001
RE1,IMPCOA,2041,0.001
RE1,IMPCOA,2042,0.001
RE1,IMPCOA,2043,0.001
RE1,IMPCOA,2044,0.001
RE1,IMPCOA,2045,0.001
RE1,IMPCOA,2046,0.001
RE1,IMPCOA,2047,0.001
RE1,IMPCOA,2048,0.001
RE1,IMPCOA,2049,0.001
RE1,IMPCOA,2050,0.001
RE1,IMPDSL,2020,0.001
RE1,IMPDSL,2021,0.001
RE1,IMPDSL,2022,0.001
RE1,IMPDSL,2023,0.001
RE1,IMPDSL,2024,0.001
RE1,IMPDSL,2025,0.001
RE1,IMPDSL,2026,0.001
RE1,IMPDSL,2027,0.001
RE1,IMPDSL,2028,0.001
RE1,IMPDSL,2029,0.001
RE1,IMPDSL,2030,0.001
RE1,IMPDSL,2031,0.001
RE1,IMPDSL,2032,0.001
RE1,IMPDSL,2033,0.001
RE1,IMPDSL,2034,0.001
RE1,IMPDSL,2035,0.001
RE1,IMPDSL,2036,0.001
RE1,IMPDSL,2037,0.001
RE1,IMPDSL,2038,0.001
RE1,IMPDSL,2039,0.001
RE1,IMPDSL,2040,0.001
RE1,IMPDSL,2041,0.001
RE1,IMPDSL,2042,0.001
RE1,IMPDSL,2043,0.001
RE1,IMPDSL,2044,0.001
RE1,IMPDSL,2045,0.001
RE1,IMPDSL,2046,0.001
RE1,IMPDSL,2047,0.001
RE1,IMPDSL,2048,0.001
RE1,IMPDSL,2049,0.001
RE1,IMPDSL,2050,0.001
RE1,MINBIO,2020,0.001
RE1,MINBIO,2021,0.001
RE1,MINBIO,2022,0.001
RE1,MINBIO,2023,0.001
RE1,MINBIO,2024,0.001
RE1,MINBIO,2025,0.001
RE1,MINBIO,2026,0.001
RE1,MINBIO,2027,0.001
RE1,MINBIO,2028,0.001
RE1,MINBIO,2029,0.001
RE1,MINBIO,2030,0.001
RE1,MINBIO,2031,0.001
RE1,MINBIO,2032,0.001
RE1,MINBIO,2033,0.001
RE1,MINBIO,2034,0.001
RE1,MINBIO,2035,0.001
RE1,MINBIO,2036,0.001
RE1,MINBIO,2037,0.001
RE1,MINBIO,2038,0.001
RE1,MINBIO,2039,0.001
RE1,MINBIO,2040,0.001
RE1,MINBIO,2041,0.001
RE1,MINBIO,2042,0.001
RE1,MINBIO,2043,0.001
RE1,MINBIO,2044,0.001
RE1,MINBIO,2045,0.001
RE1,MINBIO,2046,0.001
RE1,MINBIO,2047,0.001
RE1,MINBIO,2048,0.001
RE1,MINBIO,2049,0.001
RE1,MINBIO,2050,0.001
RE1,MINGEO,2020,0.001
RE1,MINGEO,2021,0.001
RE1,MINGEO,2022,0.001
RE1,MINGEO,2023,0.001
RE1,MINGEO,2024,0.001
RE1,MINGEO,2025,0.001
RE1,MINGEO,2026,0.001
RE1,MINGEO,2027,0.001
RE1,MINGEO,2028,0.001
RE1,MINGEO,2029,0.001
RE1,MINGEO,2030,0.001
RE1,MINGEO,2031,0.001
RE1,MINGEO,2032,0.001
RE1,MINGEO,2033,0.001
RE1,MINGEO,2034,0.001
RE1,MINGEO,2035,0.001
RE1,MINGEO,2036,0.001
RE1,MINGEO,2037,0.001
RE1,MINGEO,2038,0.001
RE1,MINGEO,2039,0.001
RE1,MINGEO,2040,0.001
RE1,MINGEO,2041,0.001
RE1,MINGEO,2042,0.001
RE1,MINGEO,2043,0.001
RE1,MINGEO,2044,0.001
RE1,MINGEO,2045,0.001
RE1,MINGEO,2046,0.001
RE1,MINGEO,2047,0.001
RE1,MINGEO,2048,0.001
RE1,MINGEO,2049,0.001
RE1,MINGEO,2050,0.001
RE1,PWRGEO,2020,4000.0
RE1,PWRGEO,2021,4000.0
RE1,PWRGEO,2022,4000.0
RE1,PWRGEO,2023,4000.0
RE1,PWRGEO,2024,4000.0
RE1,PWRGEO,2025,4000.0
RE1,PWRGEO,2026,4000.0
RE1,PWRGEO,2027,4000.0
RE1,PWRGEO,2028,4000.0
RE1,PWRGEO,2029,4000.0
RE1,PWRGEO,2030,4000.0
RE1,PWRGEO,2031,4000.0
RE1,PWRGEO,2032,4000.0
RE1,PWRGEO,2033,4000.0
RE1,PWRGEO,2034,4000.0
RE1,PWRGEO,2035,4000.0
RE1,PWRGEO,2036,4000.0
RE1,PWRGEO,2037,4000.0
RE1,PWRGEO,2038,4000.0
RE1,PWRGEO,2039,4000.0
RE1,PWRGEO,2040,4000.0
RE1,PWRGEO,2041,4000.0
RE1,PWRGEO,2042,4000.0
RE1,PWRGEO,2043,4000.0
RE1,PWRGEO,2044,4000.0
RE1,PWRGEO,2045,4000.0
RE1,PWRGEO,2046,4000.0
RE1,PWRGEO,2047,4000.0
RE1,PWRGEO,2048,4000.0
RE1,PWRGEO,2049,4000.0
RE1,PWRGEO,2050,4000.0
RE1,PWRPVU,2020,1378.0
RE1,PWRPVU,2021,1328.8
RE1,PWRPVU,2022,1279.6
RE1,PWRPVU,2023,1230.4
RE1,PWRPVU,2024,1181.2
RE1,PWRPVU,2025,1132.0
RE1,PWRPVU,2026,1082.8
RE1,PWRPVU,2027,1033.6
RE1,PWRPVU,2028,984.4
RE1,PWRPVU,2029,935.2
RE1,PWRPVU,2030,886.0
RE1,PWRPVU,2031,869.7
RE1,PWRPVU,2032,853.4
RE1,PWRPVU,2033,837.1
RE1,PWRPVU,2034,820.8
RE1,PWRPVU,2035,804.5
RE1,PWRPVU,2036,788.2
RE1,PWRPVU,2037,771.9
RE1,PWRPVU,2038,755.6
RE1,PWRPVU,2039,739.3
RE1,PWRPVU,2040,723.0
RE1,PWRPVU,2041,723.0
RE1,PWRPVU,2042,723.0
RE1,PWRPVU,2043,723.0
RE1,PWRPVU,2044,723.0
RE1,PWRPVU,2045,723.0
RE1,PWRPVU,2046,723.0
RE1,PWRPVU,2047,723.0
RE1,PWRPVU,2048,723.0
RE1,PWRPVU,2049,723.0
RE1,PWRPVU,2050,723.0
RE1,PWRHYD001,2020,3000.0
RE1,PWRHYD001,2021,3000.0
RE1,PWRHYD001,2022,3000.0
RE1,PWRHYD001,2023,3000.0
RE1,PWRHYD001,2024,3000.0
RE1,PWRHYD001,2025,3000.0
RE1,PWRHYD001,2026,3000.0
