INDICATOR,VALUE,UNIT,YEAR
HM,100.0,%,2020
HM,100.0,%,2021
HM,100.0,%,2022
HM,100.0,%,2023
HM,100.0,%,2024
HM,100.0,%,2025
HM,100.0,%,2026
HM,100.0,%,2027
HM,100.0,%,2028
HM,100.0,%,2029
HM,100.0,%,2030
HM,100.0,%,2031
HM,100.0,%,2032
HM,100.0,%,2033
HM,100.0,%,2034
HM,100.0,%,2035
HM,100.0,%,2036
HM,100.0,%,2037
HM,100.0,%,2038
HM,100.0,%,2039
HM,100.0,%,2040
HM,100.0,%,2041
HM,100.0,%,2042
HM,100.0,%,2043
HM,100.0,%,2044
HM,100.0,%,2045
HM,100.0,%,2046
HM,100.0,%,2047
HM,100.0,%,2048
HM,100.0,%,2049
HM,100.0,%,2050
