INDICATOR,VALUE,UNIT,YEAR
HarvestedArea,11.091,%,2020
HarvestedArea,11.603,%,2021
HarvestedArea,11.905,%,2022
HarvestedArea,12.214,%,2023
HarvestedArea,12.532,%,2024
HarvestedArea,12.858,%,2025
HarvestedArea,13.192,%,2026
HarvestedArea,13.535,%,2027
HarvestedArea,13.887,%,2028
HarvestedArea,14.248,%,2029
HarvestedArea,14.618,%,2030
HarvestedArea,14.999,%,2031
HarvestedArea,15.389,%,2032
HarvestedArea,15.789,%,2033
HarvestedArea,16.199,%,2034
HarvestedArea,16.62,%,2035
HarvestedArea,17.052,%,2036
HarvestedArea,17.496,%,2037
HarvestedArea,17.951,%,2038
HarvestedArea,18.417,%,2039
HarvestedArea,18.896,%,2040
HarvestedArea,19.388,%,2041
HarvestedArea,19.892,%,2042
HarvestedArea,20.409,%,2043
HarvestedArea,20.939,%,2044
HarvestedArea,21.484,%,2045
HarvestedArea,22.042,%,2046
HarvestedArea,22.616,%,2047
HarvestedArea,23.204,%,2048
HarvestedArea,23.834,%,2049
HarvestedArea,24.779,%,2050
