REGION,TECHNOLOGY,COMMODITY,MODE_OF_OPERATION,YEAR,VALUE
RE1,PWRGEO,GEO,1,2020,1.25
RE1,PWRGEO,GEO,1,2021,1.25
RE1,PWRGEO,GEO,1,2022,1.25
RE1,PWRGEO,GEO,1,2023,1.25
RE1,PWRGEO,GEO,1,2024,1.25
RE1,PWRGEO,GEO,1,2025,1.25
RE1,PWRGEO,GEO,1,2026,1.25
RE1,PWRGEO,GEO,1,2027,1.25
RE1,PWRGEO,GEO,1,2028,1.25
RE1,PWRGEO,GEO,1,2029,1.25
RE1,PWRGEO,GEO,1,2030,1.25
RE1,PWRGEO,GEO,1,2031,1.25
RE1,PWRGEO,GEO,1,2032,1.25
RE1,PWRGEO,GEO,1,2033,1.25
RE1,PWRGEO,GEO,1,2034,1.25
RE1,PWRGEO,GEO,1,2035,1.25
RE1,PWRGEO,GEO,1,2036,1.25
RE1,PWRGEO,GEO,1,2037,1.25
RE1,PWRGEO,GEO,1,2038,1.25
RE1,PWRGEO,GEO,1,2039,1.25
RE1,PWRGEO,GEO,1,2040,1.25
RE1,PWRGEO,GEO,1,2041,1.25
RE1,PWRGEO,GEO,1,2042,1.25
RE1,PWRGEO,GEO,1,2043,1.25
RE1,PWRGEO,GEO,1,2044,1.25
RE1,PWRGEO,GEO,1,2045,1.25
RE1,PWRGEO,GEO,1,2046,1.25
RE1,PWRGEO,GEO,1,2047,1.25
RE1,PWRGEO,GEO,1,2048,1.25
RE1,PWRGEO,GEO,1,2049,1.25
RE1,PWRGEO,GEO,1,2050,1.25
RE1,PWRGEO,PWRWAT,1,2020,0.04
RE1,PWRGEO,PWRWAT,1,2021,0.04
RE1,PWRGEO,PWRWAT,1,2022,0.04
RE1,PWRGEO,PWRWAT,1,2023,0.04
RE1,PWRGEO,PWRWAT,1,2024,0.04
RE1,PWRGEO,PWRWAT,1,2025,0.04
RE1,PWRGEO,PWRWAT,1,2026,0.04
RE1,PWRGEO,PWRWAT,1,2027,0.04
RE1,PWRGEO,PWRWAT,1,2028,0.04
RE1,PWRGEO,PWRWAT,1,2029,0.04
RE1,PWRGEO,PWRWAT,1,2030,0.04
RE1,PWRGEO,PWRWAT,1,2031,0.04
RE1,PWRGEO,PWRWAT,1,2032,0.04
RE1,PWRGEO,PWRWAT,1,2033,0.04
