REGION,TECHNOLOGY,VALUE
RE1,IMPCOA,1.0
RE1,IMPDSL,1.0
RE1,MINBIO,1.0
RE1,MINGEO,1.0
RE1,PWRGEO,25.0
RE1,PWRPVU,25.0
RE1,PWRHYD001,50.0
RE1,PWRHYD002,50.0
RE1,PWRPVR,25.0
RE1,PWRHYD004,50.0
RE1,PWRDSL,25.0
RE1,PWRWND,25.0
RE1,PWRTRN,70.0
RE1,DEMRESEL002,1.0
RE1,DEMINDEL002,1.0
RE1,DEMCOMEL002,1.0
RE1,DEMTRAEL002,1.0
RE1,DEMEXPEL002,1.0
RE1,PWRBIO001,30.0
RE1,IMPPET,1.0
RE1,DEMTRAPET,1.0
RE1,DEMRESBIO,1.0
RE1,DEMINDCOA,1.0
RE1,MINLND,1.0
RE1,LNDTEFHR,15.0
RE1,LNDTEFLR,15.0
RE1,LNDTEFHI,15.0
RE1,LNDTEFLI,15.0
RE1,LNDMAIHR,15.0
RE1,LNDMAILR,15.0
RE1,LNDMAIHI,15.0
RE1,LNDMAILI,15.0
RE1,LNDWHEHR,15.0
RE1,LNDWHELR,15.0
RE1,LNDWHEHI,15.0
RE1,LNDWHELI,15.0
RE1,LNDSORHR,15.0
RE1,LNDSORLR,15.0
RE1,LNDSORHI,15.0
RE1,LNDSORLI,15.0
RE1,LNDBRLHR,15.0
RE1,LNDBRLLR,15.0
RE1,LNDBRLHI,15.0
RE1,LNDBRLLI,15.0
RE1,LNDCOFHR,15.0
RE1,LNDCOFLR,15.0
RE1,LNDCOFHI,15.0
RE1,LNDCOFLI,15.0
RE1,LNDOTCHR,15.0
RE1,LNDOTCLR,15.0
RE1,LNDOTCHI,15.0
RE1,LNDOTCLI,15.0
RE1,LNDSGCHI,15.0
RE1,LNDFOR,1.0
RE1,LNDBLT,1.0
RE1,LNDWAT,1.0
RE1,LNDOTH,1.0
RE1,DEMTRABIO,1.0
RE1,LNDSGCHR,1.0
RE1,MINPRC,1.0
RE1,DEMAGRSURWAT,1.0
RE1,DEMAGRGWTWAT,1.0
RE1,DEMPUBSURWAT,1.0
RE1,DEMPUBGWTWAT,1.0
RE1,IMPTEF,1.0
RE1,IMPMAI,1.0
RE1,IMPWHE,1.0
RE1,IMPSOR,1.0
RE1,IMPBRL,1.0
RE1,IMPCOF,1.0
RE1,IMPOTC,1.0
RE1,IMPSGC,1.0
RE1,DEMPWRGWTWAT,1.0
RE1,DEMPWRSURWAT,1.0
RE1,DEMAGRDSL,1.0
