REGION,TECHNOLOGY,YEAR,VALUE
RE1,PWRGEO,2020,0.0073
RE1,PWRGEO,2021,0.007
RE1,PWRGEO,2022,0.007
RE1,PWRGEO,2023,0.007
RE1,PWRGEO,2024,0.007
RE1,PWRGEO,2025,0.007
RE1,PWRGEO,2026,0.007
RE1,PWRGEO,2027,0.007
RE1,PWRGEO,2028,0.007
RE1,PWRGEO,2029,0.007
RE1,PWRGEO,2030,0.007
RE1,PWRGEO,2031,0.007
RE1,PWRGEO,2032,0.007
RE1,PWRGEO,2033,0.007
RE1,PWRGEO,2034,0.007
RE1,PWRGEO,2035,0.007
RE1,PWRGEO,2036,0.007
RE1,PWRGEO,2037,0.007
RE1,PWRGEO,2038,0.007
RE1,PWRGEO,2039,0
RE1,PWRGEO,2040,0
RE1,PWRGEO,2041,0
RE1,PWRGEO,2042,0
RE1,PWRGEO,2043,0
RE1,PWRGEO,2044,0
RE1,PWRGEO,2045,0
RE1,PWRGEO,2046,0
RE1,PWRGEO,2047,0
RE1,PWRGEO,2048,0
RE1,PWRGEO,2049,0
RE1,PWRGEO,2050,0
RE1,PWRPVU,2020,0.023
RE1,PWRPVU,2021,0.023
RE1,PWRPVU,2022,0.023
RE1,PWRPVU,2023,0.023
RE1,PWRPVU,2024,0.023
RE1,PWRPVU,2025,0.023
RE1,PWRPVU,2026,0.023
RE1,PWRPVU,2027,0.023
RE1,PWRPVU,2028,0.023
RE1,PWRPVU,2029,0.023
RE1,PWRPVU,2030,0.023
RE1,PWRPVU,2031,0.023
RE1,PWRPVU,2032,0.023
RE1,PWRPVU,2033,0.023
RE1,PWRPVU,2034,0.023
RE1,PWRPVU,2035,0.023
RE1,PWRPVU,2036,0.023
RE1,PWRPVU,2037,0.023
RE1,PWRPVU,2038,0.023
RE1,PWRPVU,2039,0.023
RE1,PWRPVU,2040,0.023
RE1,PWRPVU,2041,0.023
RE1,PWRPVU,2042,0.023
RE1,PWRPVU,2043,0.023
RE1,PWRPVU,2044,0.023
RE1,PWRPVU,2045,0.023
RE1,PWRPVU,2046,0
RE1,PWRPVU,2047,0
RE1,PWRPVU,2048,0
RE1,PWRPVU,2049,0
RE1,PWRPVU,2050,0
RE1,PWRHYD001,2020,4.7095
RE1,PWRHYD001,2021,4.71
RE1,PWRHYD001,2022,4.71
RE1,PWRHYD001,2023,4.71
RE1,PWRHYD001,2024,4.71
RE1,PWRHYD001,2025,4.71
RE1,PWRHYD001,2026,4.71
RE1,PWRHYD001,2027,4.71
RE1,PWRHYD001,2028,4.71
RE1,PWRHYD001,2029,4.71
RE1,PWRHYD001,2030,4.71
RE1,PWRHYD001,2031,4.71
RE1,PWRHYD001,2032,4.71
RE1,PWRHYD001,2033,4.71
RE1,PWRHYD001,2034,4.71
RE1,PWRHYD001,2035,4.71
RE1,PWRHYD001,2036,4.71
RE1,PWRHYD001,2037,4.71
RE1,PWRHYD001,2038,4.71
RE1,PWRHYD001,2039,4.71
RE1,PWRHYD001,2040,4.71
RE1,PWRHYD001,2041,4.71
RE1,PWRHYD001,2042,4.71
RE1,PWRHYD001,2043,4.71
RE1,PWRHYD001,2044,4.71
RE1,PWRHYD001,2045,4.71
RE1,PWRHYD001,2046,4.71
RE1,PWRHYD001,2047,4.71
RE1,PWRHYD001,2048,4.71
RE1,PWRHYD001,2049,4.71
RE1,PWRHYD001,2050,4.71
RE1,PWRHYD002,2020,0.2932
RE1,PWRHYD002,2021,0.293
RE1,PWRHYD002,2022,0.293
RE1,PWRHYD002,2023,0.293
RE1,PWRHYD002,2024,0.293
RE1,PWRHYD002,2025,0.293
RE1,PWRHYD002,2026,0.293
RE1,PWRHYD002,2027,0.293
RE1,PWRHYD002,2028,0.293
RE1,PWRHYD002,2029,0.293
RE1,PWRHYD002,2030,0.293
RE1,PWRHYD002,2031,0.293
RE1,PWRHYD002,2032,0.293
RE1,PWRHYD002,2033,0.293
RE1,PWRHYD002,2034,0.293
RE1,PWRHYD002,2035,0.293
RE1,PWRHYD002,2036,0.293
RE1,PWRHYD002,2037,0.293
RE1,PWRHYD002,2038,0.293
RE1,PWRHYD002,2039,0.293
RE1,PWRHYD002,2040,0.293
RE1,PWRHYD002,2041,0.293
RE1,PWRHYD002,2042,0.293
RE1,PWRHYD002,2043,0.293
RE1,PWRHYD002,2044,0.293
RE1,PWRHYD002,2045,0.293
RE1,PWRHYD002,2046,0.293
RE1,PWRHYD002,2047,0.293
RE1,PWRHYD002,2048,0.293
RE1,PWRHYD002,2049,0.293
RE1,PWRHYD002,2050,0.293
RE1,PWRPVR,2020,0.01394
RE1,PWRPVR,2021,0.014
RE1,PWRPVR,2022,0.014
RE1,PWRPVR,2023,0.014
RE1,PWRPVR,2024,0.014
RE1,PWRPVR,2025,0.014
RE1,PWRPVR,2026,0.014
RE1,PWRPVR,2027,0.014
RE1,PWRPVR,2028,0.014
RE1,PWRPVR,2029,0.014
RE1,PWRPVR,2030,0.014
RE1,PWRPVR,2031,0.014
RE1,PWRPVR,2032,0.014
RE1,PWRPVR,2033,0.014
RE1,PWRPVR,2034,0.014
RE1,PWRPVR,2035,0.014
RE1,PWRPVR,2036,0.014
RE1,PWRPVR,2037,0.014
RE1,PWRPVR,2038,0.014
RE1,PWRPVR,2039,0.014
RE1,PWRPVR,2040,0.014
RE1,PWRPVR,2041,0.014
RE1,PWRPVR,2042,0.014
RE1,PWRPVR,2043,0.014
RE1,PWRPVR,2044,0.014
RE1,PWRPVR,2045,0.014
RE1,PWRPVR,2046,0
RE1,PWRPVR,2047,0
RE1,PWRPVR,2048,0
RE1,PWRPVR,2049,0
RE1,PWRPVR,2050,0
RE1,PWRHYD004,2020,0.00128
RE1,PWRHYD004,2021,0.001
RE1,PWRHYD004,2022,0.001
RE1,PWRHYD004,2023,0.001
RE1,PWRHYD004,2024,0.001
RE1,PWRHYD004,2025,0.001
RE1,PWRHYD004,2026,0.001
RE1,PWRHYD004,2027,0.001
RE1,PWRHYD004,2028,0.001
RE1,PWRHYD004,2029,0.001
RE1,PWRHYD004,2030,0.001
RE1,PWRHYD004,2031,0.001
RE1,PWRHYD004,2032,0.001
RE1,PWRHYD004,2033,0.001
RE1,PWRHYD004,2034,0.001
RE1,PWRHYD004,2035,0.001
RE1,PWRHYD004,2036,0.001
RE1,PWRHYD004,2037,0.001
RE1,PWRHYD004,2038,0.001
RE1,PWRHYD004,2039,0.001
RE1,PWRHYD004,2040,0.001
RE1,PWRHYD004,2041,0.001
RE1,PWRHYD004,2042,0.001
RE1,PWRHYD004,2043,0.001
RE1,PWRHYD004,2044,0.001
RE1,PWRHYD004,2045,0.001
RE1,PWRHYD004,2046,0.001
RE1,PWRHYD004,2047,0.001
RE1,PWRHYD004,2048,0.001
RE1,PWRHYD004,2049,0.001
RE1,PWRHYD004,2050,0.001
RE1,PWRDSL,2020,0.089
RE1,PWRDSL,2021,0.089
RE1,PWRDSL,2022,0.089
RE1,PWRDSL,2023,0.089
RE1,PWRDSL,2024,0.089
RE1,PWRDSL,2025,0.089
RE1,PWRDSL,2026,0.089
RE1,PWRDSL,2027,0.089
RE1,PWRDSL,2028,0.089
RE1,PWRDSL,2029,0.089
RE1,PWRDSL,2030,0
RE1,PWRDSL,2031,0
RE1,PWRDSL,2032,0
RE1,PWRDSL,2033,0
RE1,PWRDSL,2034,0
RE1,PWRDSL,2035,0
RE1,PWRDSL,2036,0
RE1,PWRDSL,2037,0
RE1,PWRDSL,2038,0
RE1,PWRDSL,2039,0
RE1,PWRDSL,2040,0
RE1,PWRDSL,2041,0
RE1,PWRDSL,2042,0
RE1,PWRDSL,2043,0
RE1,PWRDSL,2044,0
RE1,PWRDSL,2045,0
RE1,PWRDSL,2046,0
RE1,PWRDSL,2047,0
RE1,PWRDSL,2048,0
RE1,PWRDSL,2049,0
RE1,PWRDSL,2050,0
RE1,PWRWND,2020,0.404
RE1,PWRWND,2021,0.404
RE1,PWRWND,2022,0.404
RE1,PWRWND,2023,0.404
RE1,PWRWND,2024,0.404
RE1,PWRWND,2025,0.404
RE1,PWRWND,2026,0.404
RE1,PWRWND,2027,0.404
RE1,PWRWND,2028,0.404
RE1,PWRWND,2029,0.404
RE1,PWRWND,2030,0.404
RE1,PWRWND,2031,0.404
RE1,PWRWND,2032,0.404
RE1,PWRWND,2033,0.404
RE1,PWRWND,2034,0.404
RE1,PWRWND,2035,0.404
RE1,PWRWND,2036,0.404
RE1,PWRWND,2037,0.404
RE1,PWRWND,2038,0.404
RE1,PWRWND,2039,0
RE1,PWRWND,2040,0
RE1,PWRWND,2041,0
RE1,PWRWND,2042,0
RE1,PWRWND,2043,0
RE1,PWRWND,2044,0
RE1,PWRWND,2045,0
RE1,PWRWND,2046,0
RE1,PWRWND,2047,0
RE1,PWRWND,2048,0
RE1,PWRWND,2049,0
RE1,PWRWND,2050,0
RE1,PWRTRN,2020,1.443
RE1,PWRTRN,2021,1.443
RE1,PWRTRN,2022,1.443
RE1,PWRTRN,2023,1.443
RE1,PWRTRN,2024,1.443
RE1,PWRTRN,2025,1.443
RE1,PWRTRN,2026,1.443
RE1,PWRTRN,2027,1.443
RE1,PWRTRN,2028,1.443
RE1,PWRTRN,2029,1.443
RE1,PWRTRN,2030,1.443
RE1,PWRTRN,2031,1.443
RE1,PWRTRN,2032,1.443
RE1,PWRTRN,2033,1.443
RE1,PWRTRN,2034,1.443
RE1,PWRTRN,2035,1.443
RE1,PWRTRN,2036,1.443
RE1,PWRTRN,2037,1.443
RE1,PWRTRN,2038,1.443
RE1,PWRTRN,2039,1.443
RE1,PWRTRN,2040,1.443
RE1,PWRTRN,2041,1.443
RE1,PWRTRN,2042,1.443
RE1,PWRTRN,2043,1.443
RE1,PWRTRN,2044,1.443
RE1,PWRTRN,2045,1.443
RE1,PWRTRN,2046,1.443
RE1,PWRTRN,2047,1.443
RE1,PWRTRN,2048,1.443
RE1,PWRTRN,2049,1.443
RE1,PWRTRN,2050,1.443
RE1,PWRBIO001,2020,0.025
RE1,PWRBIO001,2021,0.025
RE1,PWRBIO001,2022,0.025
RE1,PWRBIO001,2023,0.025
RE1,PWRBIO001,2024,0.025
RE1,PWRBIO001,2025,0.025
RE1,PWRBIO001,2026,0.025
RE1,PWRBIO001,2027,0.025
RE1,PWRBIO001,2028,0.025
RE1,PWRBIO001,2029,0.025
RE1,PWRBIO001,2030,0.025
RE1,PWRBIO001,2031,0.025
RE1,PWRBIO001,2032,0.025
RE1,PWRBIO001,2033,0.025
RE1,PWRBIO001,2034,0.025
RE1,PWRBIO001,2035,0.025
RE1,PWRBIO001,2036,0.025
RE1,PWRBIO001,2037,0.025
RE1,PWRBIO001,2038,0.025
RE1,PWRBIO001,2039,0.025
RE1,PWRBIO001,2040,0.025
