REGION,COMMODITY,YEAR,VALUE
RE1,DEMRESEL002,2020,21.584
RE1,DEMRESEL002,2021,21.108
RE1,DEMRESEL002,2022,22.62877567
RE1,DEMRESEL002,2023,24.25772356
RE1,DEMRESEL002,2024,26.00200129
RE1,DEMRESEL002,2025,27.86930152
RE1,DEMRESEL002,2026,29.86782968
RE1,DEMRESEL002,2027,31.98544596
RE1,DEMRESEL002,2028,34.25042253
RE1,DEMRESEL002,2029,36.67200164
RE1,DEMRESEL002,2030,39.25986805
RE1,DEMRESEL002,2031,42.02450695
RE1,DEMRESEL002,2032,45.17661256
RE1,DEMRESEL002,2033,48.57019021
RE1,DEMRESEL002,2034,52.22259013
RE1,DEMRESEL002,2035,56.15275567
RE1,DEMRESEL002,2036,61.08842186
RE1,DEMRESEL002,2037,65.77179417
RE1,DEMRESEL002,2038,70.8089838
RE1,DEMRESEL002,2039,76.22743242
RE1,DEMRESEL002,2040,82.05708121
RE1,DEMRESEL002,2041,88.33007803
RE1,DEMRESEL002,2042,93.63367273
RE1,DEMRESEL002,2043,99.25203676
RE1,DEMRESEL002,2044,105.2047017
RE1,DEMRESEL002,2045,111.5125258
RE1,DEMRESEL002,2046,118.1973931
RE1,DEMRESEL002,2047,125.28116
RE1,DEMRESEL002,2048,132.7884076
RE1,DEMRESEL002,2049,140.744328
RE1,DEMRESEL002,2050,149.1754035
RE1,DEMINDEL002,2020,9.209
RE1,DEMINDEL002,2021,9.786
RE1,DEMINDEL002,2022,10.49105546
RE1,DEMINDEL002,2023,11.24626126
RE1,DEMINDEL002,2024,12.05493579
RE1,DEMINDEL002,2025,12.92064547
RE1,DEMINDEL002,2026,13.84719449
RE1,DEMINDEL002,2027,14.82895462
RE1,DEMINDEL002,2028,15.8790333
RE1,DEMINDEL002,2029,17.00171537
RE1,DEMINDEL002,2030,18.20149084
RE1,DEMINDEL002,2031,19.48322082
RE1,DEMINDEL002,2032,20.94458644
RE1,DEMINDEL002,2033,22.51790228
RE1,DEMINDEL002,2034,24.21121219
RE1,DEMINDEL002,2035,26.03329861
RE1,DEMINDEL002,2036,28.3215509
RE1,DEMINDEL002,2037,30.49283578
RE1,DEMINDEL002,2038,32.82815594
RE1,DEMINDEL002,2039,35.34023374
RE1,DEMINDEL002,2040,38.04295038
RE1,DEMINDEL002,2041,40.95121014
RE1,DEMINDEL002,2042,43.41003986
RE1,DEMINDEL002,2043,46.01480158
RE1,DEMINDEL002,2044,48.77455045
RE1,DEMINDEL002,2045,51.69895667
RE1,DEMINDEL002,2046,54.79816604
RE1,DEMINDEL002,2047,58.08231155
RE1,DEMINDEL002,2048,61.56278933
RE1,DEMINDEL002,2049,65.25127885
RE1,DEMINDEL002,2050,69.16005775
RE1,DEMCOMEL002,2020,8.864
RE1,DEMCOMEL002,2021,9.419
RE1,DEMCOMEL002,2022,10.09761408
RE1,DEMCOMEL002,2023,10.82449773
RE1,DEMCOMEL002,2024,11.6028449
RE1,DEMCOMEL002,2025,12.43608826
RE1,DEMCOMEL002,2026,13.32788932
RE1,DEMCOMEL002,2027,14.27283094
RE1,DEMCOMEL002,2028,15.28352898
RE1,DEMCOMEL002,2029,16.36410761
RE1,DEMCOMEL002,2030,17.51888844
RE1,DEMCOMEL002,2031,18.75255026
RE1,DEMCOMEL002,2032,20.15911094
RE1,DEMCOMEL002,2033,21.67342342
RE1,DEMCOMEL002,2034,23.30322988
RE1,DEMCOMEL002,2035,25.0569834
RE1,DEMCOMEL002,2036,27.25942039
RE1,DEMCOMEL002,2037,29.34927654
RE1,DEMCOMEL002,2038,31.59701622
RE1,DEMCOMEL002,2039,34.01488469
RE1,DEMCOMEL002,2040,36.61624256
RE1,DEMCOMEL002,2041,39.41543514
RE1,DEMCOMEL002,2042,41.78205247
RE1,DEMCOMEL002,2043,44.28912897
RE1,DEMCOMEL002,2044,46.9453802
RE1,DEMCOMEL002,2045,49.76011372
RE1,DEMCOMEL002,2046,52.74309482
RE1,DEMCOMEL002,2047,55.90407648
RE1,DEMCOMEL002,2048,59.25402746
RE1,DEMCOMEL002,2049,62.8041892
RE1,DEMCOMEL002,2050,66.56637891
RE1,DEMEXPEL002,2020,5.893
RE1,DEMEXPEL002,2021,5.994
RE1,DEMEXPEL002,2022,6.096731037
RE1,DEMEXPEL002,2023,6.201222779
RE1,DEMEXPEL002,2024,6.307505402
RE1,DEMEXPEL002,2025,6.415609601
RE1,DEMEXPEL002,2026,6.525566596
RE1,DEMEXPEL002,2027,6.637408141
RE1,DEMEXPEL002,2028,6.751166536
RE1,DEMEXPEL002,2029,6.866874634
RE1,DEMEXPEL002,2030,6.984565851
RE1,DEMEXPEL002,2031,7.104274174
RE1,DEMEXPEL002,2032,7.226034176
RE1,DEMEXPEL002,2033,7.34988102
RE1,DEMEXPEL002,2034,7.475850473
RE1,DEMEXPEL002,2035,7.603978913
RE1,DEMEXPEL002,2036,7.734303343
RE1,DEMEXPEL002,2037,7.866861402
RE1,DEMEXPEL002,2038,8.00169137
RE1,DEMEXPEL002,2039,8.138832186
RE1,DEMEXPEL002,2040,8.278323455
RE1,DEMEXPEL002,2041,8.420205462
RE1,DEMEXPEL002,2042,8.564519182
RE1,DEMEXPEL002,2043,8.711306292
RE1,DEMEXPEL002,2044,8.860609183
RE1,DEMEXPEL002,2045,9.012470973
RE1,DEMEXPEL002,2046,9.166935518
RE1,DEMEXPEL002,2047,9.324047429
RE1,DEMEXPEL002,2048,9.483852077
RE1,DEMEXPEL002,2049,9.646395613
RE1,DEMEXPEL002,2050,9.81172498
