REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,DEMTRAPET,1,2020,0.0
RE1,DEMTRAPET,1,2021,0.0
RE1,DEMTRAPET,1,2022,0.05
RE1,DEMTRAPET,1,2023,0.05
RE1,DEMTRAPET,1,2024,0.05
RE1,DEMTRAPET,1,2025,0.05
RE1,DEMTRAPET,1,2026,0.05
RE1,DEMTRAPET,1,2027,0.05
RE1,DEMTRAPET,1,2028,0.05
RE1,DEMTRAPET,1,2029,0.05
RE1,DEMTRAPET,1,2030,0.05
RE1,DEMTRAPET,1,2031,0.05
RE1,DEMTRAPET,1,2032,0.05
RE1,DEMTRAPET,1,2033,0.05
RE1,DEMTRAPET,1,2034,0.05
RE1,DEMTRAPET,1,2035,0.05
RE1,DEMTRAPET,1,2036,0.05
RE1,DEMTRAPET,1,2037,0.05
RE1,DEMTRAPET,1,2038,0.05
RE1,DEMTRAPET,1,2039,0.05
RE1,DEMTRAPET,1,2040,0.05
RE1,DEMTRAPET,1,2041,0.05
RE1,DEMTRAPET,1,2042,0.05
RE1,DEMTRAPET,1,2043,0.05
RE1,DEMTRAPET,1,2044,0.05
RE1,DEMTRAPET,1,2045,0.05
RE1,DEMTRAPET,1,2046,0.05
RE1,DEMTRAPET,1,2047,0.05
RE1,DEMTRAPET,1,2048,0.05
RE1,DEMTRAPET,1,2049,0.05
RE1,DEMTRAPET,1,2050,0.05
RE1,LNDFOR,1,2020,0.0
RE1,LNDFOR,1,2021,0.05
RE1,LNDFOR,1,2022,0.05
RE1,LNDFOR,1,2023,0.05
RE1,LNDFOR,1,2024,0.05
RE1,LNDFOR,1,2025,0.05
RE1,LNDFOR,1,2026,0.05
RE1,LNDFOR,1,2027,0.05
RE1,LNDFOR,1,2028,0.05
RE1,LNDFOR,1,2029,0.05
RE1,LNDFOR,1,2030,0.05
RE1,LNDFOR,1,2031,0.05
RE1,LNDFOR,1,2032,0.05
RE1,LNDFOR,1,2033,0.05
RE1,LNDFOR,1,2034,0.05
RE1,LNDFOR,1,2035,0.05
RE1,LNDFOR,1,2036,0.05
RE1,LNDFOR,1,2037,0.05
RE1,LNDFOR,1,2038,0.05
RE1,LNDFOR,1,2039,0.05
RE1,LNDFOR,1,2040,0.05
RE1,LNDFOR,1,2041,0.05
RE1,LNDFOR,1,2042,0.05
RE1,LNDFOR,1,2043,0.05
RE1,LNDFOR,1,2044,0.05
RE1,LNDFOR,1,2045,0.05
RE1,LNDFOR,1,2046,0.05
RE1,LNDFOR,1,2047,0.05
RE1,LNDFOR,1,2048,0.05
RE1,LNDFOR,1,2049,0.05
RE1,LNDFOR,1,2050,0.05
RE1,LNDOTH,1,2020,0.01
RE1,LNDOTH,1,2021,0.01
RE1,LNDOTH,1,2022,0.01
RE1,LNDOTH,1,2023,0.01
RE1,LNDOTH,1,2024,0.01
RE1,LNDOTH,1,2025,0.01
RE1,LNDOTH,1,2026,0.01
RE1,LNDOTH,1,2027,0.01
RE1,LNDOTH,1,2028,0.01
RE1,LNDOTH,1,2029,0.01
RE1,LNDOTH,1,2030,0.01
