REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
RE1,PWRGEO,1,2020,0.2
RE1,PWRGEO,1,2021,0.2
RE1,PWRGEO,1,2022,0.2
RE1,PWRGEO,1,2023,0.2
RE1,PWRGEO,1,2024,0.2
RE1,PWRGEO,1,2025,0.2
RE1,PWRGEO,1,2026,0.2
RE1,PWRGEO,1,2027,0.2
RE1,PWRGEO,1,2028,0.2
RE1,PWRGEO,1,2029,0.2
RE1,PWRGEO,1,2030,0.2
RE1,PWRGEO,1,2031,0.2
RE1,PWRGEO,1,2032,0.2
RE1,PWRGEO,1,2033,0.2
RE1,PWRGEO,1,2034,0.2
RE1,PWRGEO,1,2035,0.2
RE1,PWRGEO,1,2036,0.2
RE1,PWRGEO,1,2037,0.2
RE1,PWRGEO,1,2038,0.2
RE1,PWRGEO,1,2039,0.2
RE1,PWRGEO,1,2040,0.2
RE1,PWRGEO,1,2041,0.2
RE1,PWRGEO,1,2042,0.2
RE1,PWRGEO,1,2043,0.2
RE1,PWRGEO,1,2044,0.2
RE1,PWRGEO,1,2045,0.2
RE1,PWRGEO,1,2046,0.2
RE1,PWRGEO,1,2047,0.2
RE1,PWRGEO,1,2048,0.2
RE1,PWRGEO,1,2049,0.2
RE1,PWRGEO,1,2050,0.2
RE1,PWRPVU,1,2020,0.2
RE1,PWRPVU,1,2021,0.2
RE1,PWRPVU,1,2022,0.2
RE1,PWRPVU,1,2023,0.2
RE1,PWRPVU,1,2024,0.2
RE1,PWRPVU,1,2025,0.2
RE1,PWRPVU,1,2026,0.2
RE1,PWRPVU,1,2027,0.2
RE1,PWRPVU,1,2028,0.2
RE1,PWRPVU,1,2029,0.2
RE1,PWRPVU,1,2030,0.2
RE1,PWRPVU,1,2031,0.2
RE1,PWRPVU,1,2032,0.2
RE1,PWRPVU,1,2033,0.2
RE1,PWRPVU,1,2034,0.2
RE1,PWRPVU,1,2035,0.2
RE1,PWRPVU,1,2036,0.2
RE1,PWRPVU,1,2037,0.2
RE1,PWRPVU,1,2038,0.2
RE1,PWRPVU,1,2039,0.2
RE1,PWRPVU,1,2040,0.2
RE1,PWRPVU,1,2041,0.2
RE1,PWRPVU,1,2042,0.2
RE1,PWRPVU,1,2043,0.2
RE1,PWRPVU,1,2044,0.2
RE1,PWRPVU,1,2045,0.2
RE1,PWRPVU,1,2046,0.2
RE1,PWRPVU,1,2047,0.2
RE1,PWRPVU,1,2048,0.2
RE1,PWRPVU,1,2049,0.2
RE1,PWRPVU,1,2050,0.2
RE1,PWRHYD001,1,2020,0.2
RE1,PWRHYD001,1,2021,0.2
RE1,PWRHYD001,1,2022,0.2
RE1,PWRHYD001,1,2023,0.2
RE1,PWRHYD001,1,2024,0.2
RE1,PWRHYD001,1,2025,0.2
RE1,PWRHYD001,1,2026,0.2
RE1,PWRHYD001,1,2027,0.2
RE1,PWRHYD001,1,2028,0.2
RE1,PWRHYD001,1,2029,0.2
RE1,PWRHYD001,1,2030,0.2
RE1,PWRHYD001,1,2031,0.2
RE1,PWRHYD001,1,2032,0.2
RE1,PWRHYD001,1,2033,0.2
RE1,PWRHYD001,1,2034,0.2
RE1,PWRHYD001,1,2035,0.2
RE1,PWRHYD001,1,2036,0.2
RE1,PWRHYD001,1,2037,0.2
RE1,PWRHYD001,1,2038,0.2
RE1,PWRHYD001,1,2039,0.2
RE1,PWRHYD001,1,2040,0.2
RE1,PWRHYD001,1,2041,0.2
RE1,PWRHYD001,1,2042,0.2
RE1,PWRHYD001,1,2043,0.2
RE1,PWRHYD001,1,2044,0.2
RE1,PWRHYD001,1,2045,0.2
RE1,PWRHYD001,1,2046,0.2
RE1,PWRHYD001,1,2047,0.2
RE1,PWRHYD001,1,2048,0.2
RE1,PWRHYD001,1,2049,0.2
RE1,PWRHYD001,1,2050,0.2
RE1,PWRHYD002,1,2020,0.2
RE1,PWRHYD002,1,2021,0.2
RE1,PWRHYD002,1,2022,0.2
RE1,PWRHYD002,1,2023,0.2
RE1,PWRHYD002,1,2024,0.2
RE1,PWRHYD002,1,2025,0.2
RE1,PWRHYD002,1,2026,0.2
RE1,PWRHYD002,1,2027,0.2
RE1,PWRHYD002,1,2028,0.2
RE1,PWRHYD002,1,2029,0.2
RE1,PWRHYD002,1,2030,0.2
RE1,PWRHYD002,1,2031,0.2
RE1,PWRHYD002,1,2032,0.2
RE1,PWRHYD002,1,2033,0.2
RE1,PWRHYD002,1,2034,0.2
RE1,PWRHYD002,1,2035,0.2
RE1,PWRHYD002,1,2036,0.2
RE1,PWRHYD002,1,2037,0.2
RE1,PWRHYD002,1,2038,0.2
RE1,PWRHYD002,1,2039,0.2
RE1,PWRHYD002,1,2040,0.2
RE1,PWRHYD002,1,2041,0.2
RE1,PWRHYD002,1,2042,0.2
RE1,PWRHYD002,1,2043,0.2
RE1,PWRHYD002,1,2044,0.2
RE1,PWRHYD002,1,2045,0.2
RE1,PWRHYD002,1,2046,0.2
RE1,PWRHYD002,1,2047,0.2
RE1,PWRHYD002,1,2048,0.2
RE1,PWRHYD002,1,2049,0.2
RE1,PWRHYD002,1,2050,0.2
RE1,PWRPVR,1,2020,0.2
RE1,PWRPVR,1,2021,0.2
RE1,PWRPVR,1,2022,0.2
RE1,PWRPVR,1,2023,0.2
RE1,PWRPVR,1,2024,0.2
RE1,PWRPVR,1,2025,0.2
RE1,PWRPVR,1,2026,0.2
RE1,PWRPVR,1,2027,0.2
RE1,PWRPVR,1,2028,0.2
RE1,PWRPVR,1,2029,0.2
RE1,PWRPVR,1,2030,0.2
RE1,PWRPVR,1,2031,0.2
RE1,PWRPVR,1,2032,0.2
RE1,PWRPVR,1,2033,0.2
RE1,PWRPVR,1,2034,0.2
RE1,PWRPVR,1,2035,0.2
RE1,PWRPVR,1,2036,0.2
RE1,PWRPVR,1,2037,0.2
RE1,PWRPVR,1,2038,0.2
RE1,PWRPVR,1,2039,0.2
RE1,PWRPVR,1,2040,0.2
RE1,PWRPVR,1,2041,0.2
RE1,PWRPVR,1,2042,0.2
RE1,PWRPVR,1,2043,0.2
RE1,PWRPVR,1,2044,0.2
RE1,PWRPVR,1,2045,0.2
RE1,PWRPVR,1,2046,0.2
RE1,PWRPVR,1,2047,0.2
RE1,PWRPVR,1,2048,0.2
RE1,PWRPVR,1,2049,0.2
RE1,PWRPVR,1,2050,0.2
RE1,PWRHYD004,1,2020,0.2
RE1,PWRHYD004,1,2021,0.2
RE1,PWRHYD004,1,2022,0.2
RE1,PWRHYD004,1,2023,0.2
RE1,PWRHYD004,1,2024,0.2
RE1,PWRHYD004,1,2025,0.2
RE1,PWRHYD004,1,2026,0.2
RE1,PWRHYD004,1,2027,0.2
RE1,PWRHYD004,1,2028,0.2
RE1,PWRHYD004,1,2029,0.2
RE1,PWRHYD004,1,2030,0.2
RE1,PWRHYD004,1,2031,0.2
RE1,PWRHYD004,1,2032,0.2
RE1,PWRHYD004,1,2033,0.2
RE1,PWRHYD004,1,2034,0.2
RE1,PWRHYD004,1,2035,0.2
RE1,PWRHYD004,1,2036,0.2
RE1,PWRHYD004,1,2037,0.2
RE1,PWRHYD004,1,2038,0.2
RE1,PWRHYD004,1,2039,0.2
RE1,PWRHYD004,1,2040,0.2
RE1,PWRHYD004,1,2041,0.2
RE1,PWRHYD004,1,2042,0.2
RE1,PWRHYD004,1,2043,0.2
RE1,PWRHYD004,1,2044,0.2
RE1,PWRHYD004,1,2045,0.2
RE1,PWRHYD004,1,2046,0.2
RE1,PWRHYD004,1,2047,0.2
RE1,PWRHYD004,1,2048,0.2
RE1,PWRHYD004,1,2049,0.2
RE1,PWRHYD004,1,2050,0.2
RE1,PWRDSL,1,2020,0.2
RE1,PWRDSL,1,2021,0.2
RE1,PWRDSL,1,2022,0.2
RE1,PWRDSL,1,2023,0.2
RE1,PWRDSL,1,2024,0.2
RE1,PWRDSL,1,2025,0.2
RE1,PWRDSL,1,2026,0.2
RE1,PWRDSL,1,2027,0.2
RE1,PWRDSL,1,2028,0.2
RE1,PWRDSL,1,2029,0.2
RE1,PWRDSL,1,2030,0.2
RE1,PWRDSL,1,2031,0.2
RE1,PWRDSL,1,2032,0.2
RE1,PWRDSL,1,2033,0.2
RE1,PWRDSL,1,2034,0.2
RE1,PWRDSL,1,2035,0.2
RE1,PWRDSL,1,2036,0.2
RE1,PWRDSL,1,2037,0.2
RE1,PWRDSL,1,2038,0.2
RE1,PWRDSL,1,2039,0.2
RE1,PWRDSL,1,2040,0.2
RE1,PWRDSL,1,2041,0.2
RE1,PWRDSL,1,2042,0.2
RE1,PWRDSL,1,2043,0.2
RE1,PWRDSL,1,2044,0.2
RE1,PWRDSL,1,2045,0.2
RE1,PWRDSL,1,2046,0.2
RE1,PWRDSL,1,2047,0.2
RE1,PWRDSL,1,2048,0.2
RE1,PWRDSL,1,2049,0.2
RE1,PWRDSL,1,2050,0.2
RE1,PWRWND,1,2020,0.1
RE1,PWRWND,1,2021,0.1
RE1,PWRWND,1,2022,0.1
RE1,PWRWND,1,2023,0.1
RE1,PWRWND,1,2024,0.1
RE1,PWRWND,1,2025,0.1
RE1,PWRWND,1,2026,0.1
RE1,PWRWND,1,2027,0.1
RE1,PWRWND,1,2028,0.1
RE1,PWRWND,1,2029,0.1
RE1,PWRWND,1,2030,0.1
RE1,PWRWND,1,2031,0.1
RE1,PWRWND,1,2032,0.1
RE1,PWRWND,1,2033,0.1
RE1,PWRWND,1,2034,0.1
RE1,PWRWND,1,2035,0.1
RE1,PWRWND,1,2036,0.1
RE1,PWRWND,1,2037,0.1
RE1,PWRWND,1,2038,0.1
RE1,PWRWND,1,2039,0.1
RE1,PWRWND,1,2040,0.1
RE1,PWRWND,1,2041,0.1
RE1,PWRWND,1,2042,0.1
RE1,PWRWND,1,2043,0.1
RE1,PWRWND,1,2044,0.1
RE1,PWRWND,1,2045,0.1
RE1,PWRWND,1,2046,0.1
RE1,PWRWND,1,2047,0.1
RE1,PWRWND,1,2048,0.1
RE1,PWRWND,1,2049,0.1
RE1,PWRWND,1,2050,0.1
RE1,PWRBIO001,1,2020,0.2
RE1,PWRBIO001,1,2021,0.2
RE1,PWRBIO001,1,2022,0.2
RE1,PWRBIO001,1,2023,0.2
RE1,PWRBIO001,1,2024,0.2
RE1,PWRBIO001,1,2025,0.2
RE1,PWRBIO001,1,2026,0.2
RE1,PWRBIO001,1,2027,0.2
RE1,PWRBIO001,1,2028,0.2
RE1,PWRBIO001,1,2029,0.2
RE1,PWRBIO001,1,2030,0.2
RE1,PWRBIO001,1,2031,0.2
RE1,PWRBIO001,1,2032,0.2
RE1,PWRBIO001,1,2033,0.2
RE1,PWRBIO001,1,2034,0.2
RE1,PWRBIO001,1,2035,0.2
RE1,PWRBIO001,1,2036,0.2
RE1,PWRBIO001,1,2037,0.2
RE1,PWRBIO001,1,2038,0.2
RE1,PWRBIO001,1,2039,0.2
RE1,PWRBIO001,1,2040,0.2
RE1,PWRBIO001,1,2041,0.2
RE1,PWRBIO001,1,2042,0.2
RE1,PWRBIO001,1,2043,0.2
RE1,PWRBIO001,1,2044,0.2
RE1,PWRBIO001,1,2045,0.2
RE1,PWRBIO001,1,2046,0.2
RE1,PWRBIO001,1,2047,0.2
RE1,PWRBIO001,1,2048,0.2
RE1,PWRBIO001,1,2049,0.2
RE1,PWRBIO001,1,2050,0.2
RE1,LNDTEFHR,1,2020,0.1
RE1,LNDTEFHR,1,2021,0.1
RE1,LNDTEFHR,1,2022,0.1
RE1,LNDTEFHR,1,2023,0.1
RE1,LNDTEFHR,1,2024,0.1
RE1,LNDTEFHR,1,2025,0.1
RE1,LNDTEFHR,1,2026,0.1
RE1,LNDTEFHR,1,2027,0.1
RE1,LNDTEFHR,1,2028,0.1
RE1,LNDTEFHR,1,2029,0.1
RE1,LNDTEFHR,1,2030,0.1
RE1,LNDTEFHR,1,2031,0.1
RE1,LNDTEFHR,1,2032,0.1
RE1,LNDTEFHR,1,2033,0.1
RE1,LNDTEFHR,1,2034,0.1
RE1,LNDTEFHR,1,2035,0.1
RE1,LNDTEFHR,1,2036,0.1
RE1,LNDTEFHR,1,2037,0.1
RE1,LNDTEFHR,1,2038,0.1
RE1,LNDTEFHR,1,2039,0.1
RE1,LNDTEFHR,1,2040,0.1
RE1,LNDTEFHR,1,2041,0.1
RE1,LNDTEFHR,1,2042,0.1
RE1,LNDTEFHR,1,2043,0.1
RE1,LNDTEFHR,1,2044,0.1
RE1,LNDTEFHR,1,2045,0.1
RE1,LNDTEFHR,1,2046,0.1
RE1,LNDTEFHR,1,2047,0.1
RE1,LNDTEFHR,1,2048,0.1
RE1,LNDTEFHR,1,2049,0.1
RE1,LNDTEFHR,1,2050,0.1
RE1,LNDTEFHI,1,2020,0.2
RE1,LNDTEFHI,1,2021,0.2
RE1,LNDTEFHI,1,2022,0.2
RE1,LNDTEFHI,1,2023,0.2
RE1,LNDTEFHI,1,2024,0.2
RE1,LNDTEFHI,1,2025,0.2
RE1,LNDTEFHI,1,2026,0.2
RE1,LNDTEFHI,1,2027,0.2
RE1,LNDTEFHI,1,2028,0.2
RE1,LNDTEFHI,1,2029,0.2
RE1,LNDTEFHI,1,2030,0.2
RE1,LNDTEFHI,1,2031,0.2
RE1,LNDTEFHI,1,2032,0.2
RE1,LNDTEFHI,1,2033,0.2
RE1,LNDTEFHI,1,2034,0.2
RE1,LNDTEFHI,1,2035,0.2
RE1,LNDTEFHI,1,2036,0.2
RE1,LNDTEFHI,1,2037,0.2
RE1,LNDTEFHI,1,2038,0.2
RE1,LNDTEFHI,1,2039,0.2
RE1,LNDTEFHI,1,2040,0.2
RE1,LNDTEFHI,1,2041,0.2
RE1,LNDTEFHI,1,2042,0.2
RE1,LNDTEFHI,1,2043,0.2
RE1,LNDTEFHI,1,2044,0.2
RE1,LNDTEFHI,1,2045,0.2
RE1,LNDTEFHI,1,2046,0.2
RE1,LNDTEFHI,1,2047,0.2
RE1,LNDTEFHI,1,2048,0.2
RE1,LNDTEFHI,1,2049,0.2
RE1,LNDTEFHI,1,2050,0.2
RE1,LNDTEFLI,1,2020,0.2
RE1,LNDTEFLI,1,2021,0.2
RE1,LNDTEFLI,1,2022,0.2
RE1,LNDTEFLI,1,2023,0.2
RE1,LNDTEFLI,1,2024,0.2
RE1,LNDTEFLI,1,2025,0.2
RE1,LNDTEFLI,1,2026,0.2
RE1,LNDTEFLI,1,2027,0.2
RE1,LNDTEFLI,1,2028,0.2
RE1,LNDTEFLI,1,2029,0.2
RE1,LNDTEFLI,1,2030,0.2
RE1,LNDTEFLI,1,2031,0.2
RE1,LNDTEFLI,1,2032,0.2
RE1,LNDTEFLI,1,2033,0.2
RE1,LNDTEFLI,1,2034,0.2
RE1,LNDTEFLI,1,2035,0.2
RE1,LNDTEFLI,1,2036,0.2
RE1,LNDTEFLI,1,2037,0.2
RE1,LNDTEFLI,1,2038,0.2
RE1,LNDTEFLI,1,2039,0.2
RE1,LNDTEFLI,1,2040,0.2
RE1,LNDTEFLI,1,2041,0.2
RE1,LNDTEFLI,1,2042,0.2
RE1,LNDTEFLI,1,2043,0.2
RE1,LNDTEFLI,1,2044,0.2
RE1,LNDTEFLI,1,2045,0.2
RE1,LNDTEFLI,1,2046,0.2
RE1,LNDTEFLI,1,2047,0.2
RE1,LNDTEFLI,1,2048,0.2
RE1,LNDTEFLI,1,2049,0.2
RE1,LNDTEFLI,1,2050,0.2
RE1,LNDMAIHR,1,2020,0.1
RE1,LNDMAIHR,1,2021,0.1
RE1,LNDMAIHR,1,2022,0.1
RE1,LNDMAIHR,1,2023,0.1
RE1,LNDMAIHR,1,2024,0.1
RE1,LNDMAIHR,1,2025,0.1
RE1,LNDMAIHR,1,2026,0.1
RE1,LNDMAIHR,1,2027,0.1
RE1,LNDMAIHR,1,2028,0.1
RE1,LNDMAIHR,1,2029,0.1
RE1,LNDMAIHR,1,2030,0.1
RE1,LNDMAIHR,1,2031,0.1
RE1,LNDMAIHR,1,2032,0.1
RE1,LNDMAIHR,1,2033,0.1
RE1,LNDMAIHR,1,2034,0.1
