REGION,TECHNOLOGY,YEAR,VALUE
RE1,PWRGEO,2020,0.0
RE1,PWRGEO,2021,0.0
RE1,PWRGEO,2022,999999.0
RE1,PWRGEO,2023,999999.0
RE1,PWRGEO,2024,999999.0
RE1,PWRGEO,2025,999999.0
RE1,PWRGEO,2026,999999.0
RE1,PWRGEO,2027,999999.0
RE1,PWRGEO,2028,999999.0
RE1,PWRGEO,2029,999999.0
RE1,PWRGEO,2030,999999.0
RE1,PWRGEO,2031,999999.0
RE1,PWRGEO,2032,999999.0
RE1,PWRGEO,2033,999999.0
RE1,PWRGEO,2034,999999.0
RE1,PWRGEO,2035,999999.0
RE1,PWRGEO,2036,999999.0
RE1,PWRGEO,2037,999999.0
RE1,PWRGEO,2038,999999.0
RE1,PWRGEO,2039,999999.0
RE1,PWRGEO,2040,999999.0
RE1,PWRGEO,2041,999999.0
RE1,PWRGEO,2042,999999.0
RE1,PWRGEO,2043,999999.0
RE1,PWRGEO,2044,999999.0
RE1,PWRGEO,2045,999999.0
RE1,PWRGEO,2046,999999.0
RE1,PWRGEO,2047,999999.0
RE1,PWRGEO,2048,999999.0
RE1,PWRGEO,2049,999999.0
RE1,PWRGEO,2050,999999.0
RE1,PWRPVU,2020,0.0
RE1,PWRPVU,2021,0.0
RE1,PWRPVU,2022,999999.0
RE1,PWRPVU,2023,999999.0
RE1,PWRPVU,2024,999999.0
RE1,PWRPVU,2025,999999.0
RE1,PWRPVU,2026,999999.0
RE1,PWRPVU,2027,999999.0
RE1,PWRPVU,2028,999999.0
RE1,PWRPVU,2029,999999.0
RE1,PWRPVU,2030,999999.0
RE1,PWRPVU,2031,999999.0
RE1,PWRPVU,2032,999999.0
RE1,PWRPVU,2033,999999.0
RE1,PWRPVU,2034,999999.0
RE1,PWRPVU,2035,999999.0
RE1,PWRPVU,2036,999999.0
RE1,PWRPVU,2037,999999.0
RE1,PWRPVU,2038,999999.0
RE1,PWRPVU,2039,999999.0
RE1,PWRPVU,2040,999999.0
RE1,PWRPVU,2041,999999.0
RE1,PWRPVU,2042,999999.0
RE1,PWRPVU,2043,999999.0
RE1,PWRPVU,2044,999999.0
RE1,PWRPVU,2045,999999.0
RE1,PWRPVU,2046,999999.0
RE1,PWRPVU,2047,999999.0
RE1,PWRPVU,2048,999999.0
RE1,PWRPVU,2049,999999.0
RE1,PWRPVU,2050,999999.0
RE1,PWRHYD001,2020,0.0
RE1,PWRHYD001,2021,0.0
RE1,PWRHYD001,2022,999999.0
RE1,PWRHYD001,2023,999999.0
RE1,PWRHYD001,2024,999999.0
RE1,PWRHYD001,2025,999999.0
RE1,PWRHYD001,2026,999999.0
RE1,PWRHYD001,2027,999999.0
RE1,PWRHYD001,2028,999999.0
RE1,PWRHYD001,2029,999999.0
RE1,PWRHYD001,2030,999999.0
RE1,PWRHYD001,2031,999999.0
RE1,PWRHYD001,2032,999999.0
RE1,PWRHYD001,2033,999999.0
RE1,PWRHYD001,2034,999999.0
RE1,PWRHYD001,2035,999999.0
RE1,PWRHYD001,2036,999999.0
RE1,PWRHYD001,2037,999999.0
RE1,PWRHYD001,2038,999999.0
RE1,PWRHYD001,2039,999999.0
RE1,PWRHYD001,2040,999999.0
RE1,PWRHYD001,2041,999999.0
RE1,PWRHYD001,2042,999999.0
RE1,PWRHYD001,2043,999999.0
RE1,PWRHYD001,2044,999999.0
RE1,PWRHYD001,2045,999999.0
RE1,PWRHYD001,2046,999999.0
RE1,PWRHYD001,2047,999999.0
RE1,PWRHYD001,2048,999999.0
RE1,PWRHYD001,2049,999999.0
RE1,PWRHYD001,2050,999999.0
RE1,PWRHYD002,2020,0.0
RE1,PWRHYD002,2021,0.0
RE1,PWRHYD002,2022,999999.0
RE1,PWRHYD002,2023,999999.0
RE1,PWRHYD002,2024,999999.0
RE1,PWRHYD002,2025,999999.0
RE1,PWRHYD002,2026,999999.0
RE1,PWRHYD002,2027,999999.0
RE1,PWRHYD002,2028,999999.0
RE1,PWRHYD002,2029,999999.0
RE1,PWRHYD002,2030,999999.0
RE1,PWRHYD002,2031,999999.0
RE1,PWRHYD002,2032,999999.0
RE1,PWRHYD002,2033,999999.0
RE1,PWRHYD002,2034,999999.0
RE1,PWRHYD002,2035,999999.0
RE1,PWRHYD002,2036,999999.0
RE1,PWRHYD002,2037,999999.0
RE1,PWRHYD002,2038,999999.0
RE1,PWRHYD002,2039,999999.0
RE1,PWRHYD002,2040,999999.0
RE1,PWRHYD002,2041,999999.0
RE1,PWRHYD002,2042,999999.0
RE1,PWRHYD002,2043,999999.0
RE1,PWRHYD002,2044,999999.0
RE1,PWRHYD002,2045,999999.0
RE1,PWRHYD002,2046,999999.0
RE1,PWRHYD002,2047,999999.0
RE1,PWRHYD002,2048,999999.0
RE1,PWRHYD002,2049,999999.0
RE1,PWRHYD002,2050,999999.0
RE1,PWRPVR,2020,0.0
RE1,PWRPVR,2021,0.0
RE1,PWRPVR,2022,999999.0
RE1,PWRPVR,2023,999999.0
RE1,PWRPVR,2024,999999.0
RE1,PWRPVR,2025,999999.0
RE1,PWRPVR,2026,999999.0
RE1,PWRPVR,2027,999999.0
RE1,PWRPVR,2028,999999.0
RE1,PWRPVR,2029,999999.0
RE1,PWRPVR,2030,999999.0
RE1,PWRPVR,2031,999999.0
RE1,PWRPVR,2032,999999.0
RE1,PWRPVR,2033,999999.0
RE1,PWRPVR,2034,999999.0
RE1,PWRPVR,2035,999999.0
RE1,PWRPVR,2036,999999.0
RE1,PWRPVR,2037,999999.0
RE1,PWRPVR,2038,999999.0
RE1,PWRPVR,2039,999999.0
RE1,PWRPVR,2040,999999.0
RE1,PWRPVR,2041,999999.0
RE1,PWRPVR,2042,999999.0
RE1,PWRPVR,2043,999999.0
RE1,PWRPVR,2044,999999.0
RE1,PWRPVR,2045,999999.0
RE1,PWRPVR,2046,999999.0
RE1,PWRPVR,2047,999999.0
RE1,PWRPVR,2048,999999.0
RE1,PWRPVR,2049,999999.0
RE1,PWRPVR,2050,999999.0
RE1,PWRHYD004,2020,0.0
RE1,PWRHYD004,2021,0.0
RE1,PWRHYD004,2022,999999.0
RE1,PWRHYD004,2023,999999.0
RE1,PWRHYD004,2024,999999.0
RE1,PWRHYD004,2025,999999.0
RE1,PWRHYD004,2026,999999.0
RE1,PWRHYD004,2027,999999.0
RE1,PWRHYD004,2028,999999.0
RE1,PWRHYD004,2029,999999.0
RE1,PWRHYD004,2030,999999.0
RE1,PWRHYD004,2031,999999.0
RE1,PWRHYD004,2032,999999.0
RE1,PWRHYD004,2033,999999.0
RE1,PWRHYD004,2034,999999.0
RE1,PWRHYD004,2035,999999.0
RE1,PWRHYD004,2036,999999.0
RE1,PWRHYD004,2037,999999.0
RE1,PWRHYD004,2038,999999.0
RE1,PWRHYD004,2039,999999.0
RE1,PWRHYD004,2040,999999.0
RE1,PWRHYD004,2041,999999.0
RE1,PWRHYD004,2042,999999.0
RE1,PWRHYD004,2043,999999.0
RE1,PWRHYD004,2044,999999.0
RE1,PWRHYD004,2045,999999.0
RE1,PWRHYD004,2046,999999.0
RE1,PWRHYD004,2047,999999.0
RE1,PWRHYD004,2048,999999.0
RE1,PWRHYD004,2049,999999.0
RE1,PWRHYD004,2050,999999.0
RE1,PWRDSL,2020,0.0
RE1,PWRDSL,2021,0.0
RE1,PWRDSL,2022,999999.0
RE1,PWRDSL,2023,999999.0
RE1,PWRDSL,2024,999999.0
RE1,PWRDSL,2025,999999.0
RE1,PWRDSL,2026,999999.0
RE1,PWRDSL,2027,999999.0
RE1,PWRDSL,2028,999999.0
RE1,PWRDSL,2029,999999.0
RE1,PWRDSL,2030,999999.0
RE1,PWRDSL,2031,999999.0
RE1,PWRDSL,2032,999999.0
RE1,PWRDSL,2033,999999.0
RE1,PWRDSL,2034,999999.0
RE1,PWRDSL,2035,999999.0
RE1,PWRDSL,2036,999999.0
RE1,PWRDSL,2037,999999.0
RE1,PWRDSL,2038,999999.0
RE1,PWRDSL,2039,999999.0
RE1,PWRDSL,2040,999999.0
RE1,PWRDSL,2041,999999.0
RE1,PWRDSL,2042,999999.0
RE1,PWRDSL,2043,999999.0
RE1,PWRDSL,2044,999999.0
