REGION,TECHNOLOGY,YEAR,VALUE
RE1,MINLND,2020,1130.0
RE1,MINLND,2021,1130.0
RE1,MINLND,2022,1130.0
RE1,MINLND,2023,1130.0
RE1,MINLND,2024,1130.0
RE1,MINLND,2025,1130.0
RE1,MINLND,2026,1130.0
RE1,MINLND,2027,1130.0
RE1,MINLND,2028,1130.0
RE1,MINLND,2029,1130.0
RE1,MINLND,2030,1130.0
RE1,MINLND,2031,1130.0
RE1,MINLND,2032,1130.0
RE1,MINLND,2033,1130.0
RE1,MINLND,2034,1130.0
RE1,MINLND,2035,1130.0
RE1,MINLND,2036,1130.0
RE1,MINLND,2037,1130.0
RE1,MINLND,2038,1130.0
RE1,MINLND,2039,1130.0
RE1,MINLND,2040,1130.0
RE1,MINLND,2041,1130.0
RE1,MINLND,2042,1130.0
RE1,MINLND,2043,1130.0
RE1,MINLND,2044,1130.0
RE1,MINLND,2045,1130.0
RE1,MINLND,2046,1130.0
RE1,MINLND,2047,1130.0
RE1,MINLND,2048,1130.0
RE1,MINLND,2049,1130.0
RE1,MINLND,2050,1130.0
