REGION,TECHNOLOGY,VALUE
RE1,IMPCOA,0.0
RE1,IMPDSL,0.0
RE1,MINBIO,0.0
RE1,MINGEO,0.0
RE1,PWRGEO,0.0
RE1,PWRPVU,0.0
RE1,PWRHYD001,0.0
RE1,PWRHYD002,0.0
RE1,PWRPVR,0.0
RE1,PWRHYD004,0.0
RE1,PWRDSL,0.0
RE1,PWRWND,0.0
RE1,PWRTRN,0.0
RE1,DEMRESEL002,0.0
RE1,DEMINDEL002,0.0
RE1,DEMCOMEL002,0.0
RE1,DEMTRAEL002,0.0
RE1,DEMEXPEL002,0.0
RE1,PWRBIO001,0.0
RE1,IMPPET,0.0
RE1,DEMTRAPET,0.0
RE1,DEMRESBIO,0.0
RE1,DEMINDCOA,0.0
RE1,MINLND,0.0
RE1,LNDTEFHR,0.0
RE1,LNDTEFLR,0.0
RE1,LNDTEFHI,0.0
RE1,LNDTEFLI,0.0
RE1,LNDMAIHR,0.0
RE1,LNDMAILR,0.0
RE1,LNDMAIHI,0.0
RE1,LNDMAILI,0.0
RE1,LNDWHEHR,0.0
RE1,LNDWHELR,0.0
RE1,LNDWHEHI,0.0
RE1,LNDWHELI,0.0
RE1,LNDSORHR,0.0
RE1,LNDSORLR,0.0
RE1,LNDSORHI,0.0
RE1,LNDSORLI,0.0
RE1,LNDBRLHR,0.0
RE1,LNDBRLLR,0.0
RE1,LNDBRLHI,0.0
RE1,LNDBRLLI,0.0
RE1,LNDCOFHR,0.0
RE1,LNDCOFLR,0.0
RE1,LNDCOFHI,0.0
RE1,LNDCOFLI,0.0
RE1,LNDOTCHR,0.0
RE1,LNDOTCLR,0.0
RE1,LNDOTCHI,0.0
RE1,LNDOTCLI,0.0
RE1,LNDSGCHI,0.0
RE1,LNDFOR,0.0
RE1,LNDBLT,0.0
RE1,LNDWAT,0.0
RE1,LNDOTH,0.0
RE1,DEMTRABIO,0.0
RE1,LNDSGCHR,0.0
RE1,MINPRC,0.0
RE1,DEMAGRSURWAT,0.0
RE1,DEMAGRGWTWAT,0.0
RE1,DEMPUBSURWAT,0.0
RE1,DEMPUBGWTWAT,0.0
RE1,IMPTEF,0.0
RE1,IMPMAI,0.0
RE1,IMPWHE,0.0
RE1,IMPSOR,0.0
RE1,IMPBRL,0.0
RE1,IMPCOF,0.0
RE1,IMPOTC,0.0
RE1,IMPSGC,0.0
RE1,DEMPWRGWTWAT,0.0
RE1,DEMPWRSURWAT,0.0
RE1,DEMAGRDSL,0.0
