REGION,TECHNOLOGY,VALUE
RE1,IMPCOA,999999.0
RE1,IMPDSL,999999.0
RE1,MINBIO,999999.0
RE1,MINGEO,999999.0
RE1,PWRGEO,999999.0
RE1,PWRPVU,999999.0
RE1,PWRHYD001,999999.0
RE1,PWRHYD002,999999.0
RE1,PWRPVR,999999.0
RE1,PWRHYD004,999999.0
RE1,PWRDSL,999999.0
RE1,PWRWND,999999.0
RE1,PWRTRN,999999.0
RE1,DEMRESEL002,999999.0
RE1,DEMINDEL002,999999.0
RE1,DEMCOMEL002,999999.0
RE1,DEMTRAEL002,999999.0
RE1,DEMEXPEL002,999999.0
RE1,PWRBIO001,999999.0
RE1,IMPPET,999999.0
RE1,DEMTRAPET,999999.0
RE1,DEMRESBIO,999999.0
RE1,DEMINDCOA,999999.0
RE1,MINLND,999999.0
RE1,LNDTEFHR,999999.0
RE1,LNDTEFLR,999999.0
RE1,LNDTEFHI,999999.0
RE1,LNDTEFLI,999999.0
RE1,LNDMAIHR,999999.0
RE1,LNDMAILR,999999.0
RE1,LNDMAIHI,999999.0
RE1,LNDMAILI,999999.0
RE1,LNDWHEHR,999999.0
RE1,LNDWHELR,999999.0
RE1,LNDWHEHI,999999.0
RE1,LNDWHELI,999999.0
RE1,LNDSORHR,999999.0
RE1,LNDSORLR,999999.0
RE1,LNDSORHI,999999.0
RE1,LNDSORLI,999999.0
RE1,LNDBRLHR,999999.0
RE1,LNDBRLLR,999999.0
RE1,LNDBRLHI,999999.0
RE1,LNDBRLLI,999999.0
RE1,LNDCOFHR,999999.0
RE1,LNDCOFLR,999999.0
RE1,LNDCOFHI,999999.0
RE1,LNDCOFLI,999999.0
RE1,LNDOTCHR,999999.0
RE1,LNDOTCLR,999999.0
RE1,LNDOTCHI,999999.0
RE1,LNDOTCLI,999999.0
RE1,LNDSGCHI,999999.0
RE1,LNDFOR,999999.0
RE1,LNDBLT,999999.0
RE1,LNDWAT,999999.0
RE1,LNDOTH,999999.0
RE1,DEMTRABIO,999999.0
RE1,LNDSGCHR,999999.0
RE1,MINPRC,999999.0
RE1,DEMAGRSURWAT,999999.0
RE1,DEMAGRGWTWAT,999999.0
RE1,DEMPUBSURWAT,999999.0
RE1,DEMPUBGWTWAT,999999.0
RE1,IMPTEF,999999.0
RE1,IMPMAI,999999.0
RE1,IMPWHE,999999.0
RE1,IMPSOR,999999.0
RE1,IMPBRL,999999.0
RE1,IMPCOF,999999.0
RE1,IMPOTC,999999.0
RE1,IMPSGC,999999.0
RE1,DEMPWRGWTWAT,999999.0
RE1,DEMPWRSURWAT,999999.0
RE1,DEMAGRDSL,999999.0
