REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,S11,COA,2020,0
RE1,S11,COA,2021,0
RE1,S11,COA,2022,0
RE1,S11,COA,2023,0
RE1,S11,COA,2024,0
RE1,S11,COA,2025,0
RE1,S11,COA,2026,0
RE1,S11,COA,2027,0
RE1,S11,COA,2028,0
RE1,S11,COA,2029,0
RE1,S11,COA,2030,0
RE1,S11,COA,2031,0
RE1,S11,COA,2032,0
RE1,S11,COA,2033,0
RE1,S11,COA,2034,0
RE1,S11,COA,2035,0
RE1,S11,COA,2036,0
RE1,S11,COA,2037,0
RE1,S11,COA,2038,0
RE1,S11,COA,2039,0
RE1,S11,COA,2040,0
RE1,S11,COA,2041,0
RE1,S11,COA,2042,0
RE1,S11,COA,2043,0
RE1,S11,COA,2044,0
RE1,S11,COA,2045,0
RE1,S11,COA,2046,0
RE1,S11,COA,2047,0
RE1,S11,COA,2048,0
RE1,S11,COA,2049,0
RE1,S11,COA,2050,0
RE1,S11,DSL,2020,0
RE1,S11,DSL,2021,0
RE1,S11,DSL,2022,0
RE1,S11,DSL,2023,0
RE1,S11,DSL,2024,0
RE1,S11,DSL,2025,0
RE1,S11,DSL,2026,0
RE1,S11,DSL,2027,0
RE1,S11,DSL,2028,0
RE1,S11,DSL,2029,0
RE1,S11,DSL,2030,0
RE1,S11,DSL,2031,0
RE1,S11,DSL,2032,0
RE1,S11,DSL,2033,0
RE1,S11,DSL,2034,0
RE1,S11,DSL,2035,0
RE1,S11,DSL,2036,0
RE1,S11,DSL,2037,0
RE1,S11,DSL,2038,0
RE1,S11,DSL,2039,0
RE1,S11,DSL,2040,0
RE1,S11,DSL,2041,0
RE1,S11,DSL,2042,0
RE1,S11,DSL,2043,0
RE1,S11,DSL,2044,0
RE1,S11,DSL,2045,0
RE1,S11,DSL,2046,0
RE1,S11,DSL,2047,0
RE1,S11,DSL,2048,0
RE1,S11,DSL,2049,0
RE1,S11,DSL,2050,0
RE1,S11,BIO,2020,0
RE1,S11,BIO,2021,0
RE1,S11,BIO,2022,0
