REGION,TECHNOLOGY,YEAR,VALUE
RE1,MINCOA,2020,0.0473
RE1,MINGAS,2020,0.0052
RE1,MINGAS,2021,0.0011
RE1,MINGAS,2026,0.0116
RE1,MINGAS,2033,0.0003
RE1,MINGAS,2034,0.0033
RE1,MINGAS,2035,0.0035
RE1,PWRGAS,2026,1762.0873
RE1,PWRGAS,2033,42.5156
RE1,PWRGAS,2034,500.6221
RE1,PWRGAS,2035,532.1665
RE1,PWRTRN,2020,4941.3402
RE1,PWRTRN,2021,1536.2832
RE1,PWRTRN,2022,1140.4217
RE1,PWRTRN,2023,1140.2935
RE1,PWRTRN,2024,1140.7259
RE1,PWRTRN,2025,1141.9722
RE1,PWRTRN,2026,2179.0457
RE1,PWRTRN,2027,1140.6786
RE1,PWRTRN,2028,1141.9725
RE1,PWRTRN,2029,1142.2643
RE1,PWRTRN,2030,1141.9729
RE1,PWRTRN,2031,1142.2557
RE1,PWRTRN,2032,1456.3873
RE1,PWRTRN,2033,2319.3505
RE1,PWRTRN,2034,2473.3034
RE1,PWRTRN,2035,2550.9925
RE1,RSCWND,2020,0.0013
RE1,RSCWND,2021,0.0013
RE1,RSCWND,2022,0.0013
RE1,RSCWND,2023,0.0013
RE1,RSCWND,2024,0.0013
RE1,RSCWND,2025,0.0013
RE1,RSCWND,2026,0.0013
RE1,RSCWND,2027,0.0013
RE1,RSCWND,2028,0.0013
RE1,RSCWND,2029,0.0013
RE1,RSCWND,2030,0.0013
RE1,RSCWND,2031,0.0013
RE1,RSCWND,2032,0.0013
RE1,RSCWND,2033,0.0013
RE1,RSCWND,2034,0.0013
RE1,RSCWND,2035,0.0013
RE1,RSCSOL,2020,0.0004
RE1,RSCSOL,2021,0
RE1,RSCSOL,2022,0.001
RE1,RSCSOL,2023,0.0012
RE1,RSCSOL,2024,0.0012
RE1,RSCSOL,2025,0.0013
RE1,RSCSOL,2026,0.0005
RE1,RSCSOL,2027,0.0016
RE1,RSCSOL,2028,0.0018
RE1,RSCSOL,2029,0.0021
RE1,RSCSOL,2030,0.0023
RE1,RSCSOL,2031,0.0024
RE1,RSCSOL,2032,0.0027
RE1,RSCSOL,2033,0.0037
RE1,RSCSOL,2034,0.0068
RE1,RSCSOL,2035,0.0072
RE1,RSCHYD,2020,0.0109
RE1,RSCHYD,2021,0
RE1,RSCHYD,2022,0
RE1,RSCHYD,2023,0
RE1,RSCHYD,2024,0
RE1,RSCHYD,2025,0
RE1,RSCHYD,2026,0
RE1,RSCHYD,2027,0
RE1,RSCHYD,2028,0
RE1,RSCHYD,2029,0
RE1,RSCHYD,2030,0
RE1,RSCHYD,2031,0
RE1,RSCHYD,2032,0
RE1,RSCHYD,2033,0.0003
RE1,RSCHYD,2034,0.0001
RE1,RSCHYD,2035,0.0001
RE1,PWRWND,2020,1338
RE1,PWRWND,2021,1338
RE1,PWRWND,2022,1338
RE1,PWRWND,2023,1338
RE1,PWRWND,2024,1338
RE1,PWRWND,2025,1338
RE1,PWRWND,2026,1338
RE1,PWRWND,2027,1338
RE1,PWRWND,2028,1338
RE1,PWRWND,2029,1338
RE1,PWRWND,2030,1338
RE1,PWRWND,2031,1338
RE1,PWRWND,2032,1338
RE1,PWRWND,2033,1338
RE1,PWRWND,2034,1338
RE1,PWRWND,2035,1338
RE1,PWRSOL,2020,629.4701
RE1,PWRSOL,2021,61.7924
RE1,PWRSOL,2022,1823.3354
RE1,PWRSOL,2023,2087.2385
RE1,PWRSOL,2024,2092.2751
RE1,PWRSOL,2025,2354.8588
RE1,PWRSOL,2026,923.8718
RE1,PWRSOL,2027,2897.5363
RE1,PWRSOL,2028,3165.5261
RE1,PWRSOL,2029,3689.0192
RE1,PWRSOL,2030,3962.115
RE1,PWRSOL,2031,4226.6843
RE1,PWRSOL,2032,4763.641
RE1,PWRSOL,2033,6482.3965
RE1,PWRSOL,2034,12033.739
RE1,PWRSOL,2035,12595.529
RE1,RSCLND,2020,0.03
RE1,LNDMAIRNF,2021,15.716
RE1,LNDMAIRNF,2022,16.8958
RE1,LNDMAIRNF,2023,16.2734
RE1,LNDMAIRNF,2024,16.3472
RE1,LNDMAIRNF,2025,18.1327
RE1,LNDMAIRNF,2026,16.2274
RE1,LNDMAIRNF,2027,16.2925
RE1,LNDMAIRNF,2028,18.0688
RE1,LNDMAIRNF,2029,17.5578
RE1,LNDMAIRNF,2030,17.6126
RE1,LNDMAIRNF,2031,17.9744
RE1,LNDMAIRNF,2032,17.4522
RE1,LNDMAIRNF,2033,17.3659
RE1,LNDMAIRNF,2034,17.7153
RE1,LNDMAIRNF,2035,17.3096
RE1,LNDRICRNF,2021,5.5835
RE1,LNDRICRNF,2022,5.591
RE1,LNDRICRNF,2023,5.5413
RE1,LNDRICRNF,2024,5.4242
RE1,LNDRICRNF,2025,5.321
RE1,LNDRICRNF,2026,5.2479
RE1,LNDRICRNF,2027,5.0679
RE1,LNDRICRNF,2028,4.9773
RE1,LNDRICRNF,2029,4.8773
RE1,LNDRICRNF,2030,4.6689
RE1,LNDRICRNF,2031,4.5485
RE1,LNDRICRNF,2032,4.3572
RE1,LNDRICRNF,2033,4.2743
RE1,LNDRICRNF,2034,4.0211
RE1,LNDRICRNF,2035,3.8535
RE1,LNDMAIIRR,2021,2.0375
RE1,LNDMAIIRR,2022,2.0297
RE1,LNDMAIIRR,2023,2.1261
RE1,LNDMAIIRR,2024,2.1737
RE1,LNDMAIIRR,2025,2.1727
RE1,LNDMAIIRR,2026,2.2763
RE1,LNDMAIIRR,2027,2.2804
RE1,LNDMAIIRR,2028,2.3894
RE1,LNDMAIIRR,2029,2.3992
RE1,LNDMAIIRR,2030,2.514
RE1,LNDMAIIRR,2031,2.5811
RE1,LNDMAIIRR,2032,2.6005
RE1,LNDMAIIRR,2033,2.7254
RE1,LNDMAIIRR,2034,2.752
RE1,LNDMAIIRR,2035,2.8846
RE1,LNDRICIRR,2021,4.8009
RE1,LNDRICIRR,2022,4.9824
RE1,LNDRICIRR,2023,5.0132
RE1,LNDRICIRR,2024,5.2053
RE1,LNDRICIRR,2025,5.2472
RE1,LNDRICIRR,2026,5.3731
RE1,LNDRICIRR,2027,5.5832
RE1,LNDRICIRR,2028,5.644
RE1,LNDRICIRR,2029,5.8677
RE1,LNDRICIRR,2030,5.9426
RE1,LNDRICIRR,2031,6.1033
RE1,LNDRICIRR,2032,6.3499
RE1,LNDRICIRR,2033,6.449
RE1,LNDRICIRR,2034,6.713
RE1,LNDRICIRR,2035,6.8302
RE1,LNDBLT,2021,435.6
RE1,LNDBLT,2022,435.6
RE1,LNDBLT,2023,435.6
RE1,LNDBLT,2024,464.64
RE1,LNDBLT,2025,464.64
RE1,LNDBLT,2026,435.6
RE1,LNDBLT,2027,464.64
RE1,LNDBLT,2028,464.64
RE1,LNDBLT,2029,493.68
RE1,LNDBLT,2030,464.64
RE1,LNDBLT,2031,493.68
RE1,LNDBLT,2032,464.64
RE1,LNDBLT,2033,493.68
RE1,LNDBLT,2034,493.68
RE1,LNDBLT,2035,493.68
RE1,LNDWAT,2020,0
RE1,LNDWAT,2021,0.0001
RE1,LNDWAT,2022,0.0001
RE1,LNDWAT,2023,0.0001
RE1,LNDWAT,2024,0.0001
RE1,LNDWAT,2025,0.0001
RE1,LNDWAT,2026,0.0001
RE1,LNDWAT,2027,0.0001
RE1,LNDWAT,2028,0.0001
RE1,LNDWAT,2029,0.0001
RE1,LNDWAT,2030,0.0001
RE1,LNDWAT,2031,0.0001
RE1,LNDWAT,2032,0.0001
RE1,LNDWAT,2033,0.0007
RE1,LNDWAT,2034,0.0001
RE1,LNDWAT,2035,0.0001
RE1,RSCPRC,2020,0.036
RE1,DEMPUBSURWAT,2021,97.8667
RE1,DEMPUBSURWAT,2022,94.9059
RE1,DEMPUBSURWAT,2023,100.2466
RE1,DEMPUBSURWAT,2024,98.3827
RE1,DEMPUBSURWAT,2025,105.1141
RE1,DEMPUBSURWAT,2026,103.2501
RE1,DEMPUBSURWAT,2027,109.2862
RE1,DEMPUBSURWAT,2028,108.8129
RE1,DEMPUBSURWAT,2029,114.849
RE1,DEMPUBSURWAT,2030,114.3757
RE1,DEMPUBSURWAT,2031,125.0571
RE1,DEMPUBSURWAT,2032,119.9385
RE1,DEMPUBSURWAT,2033,127.3653
RE1,DEMPUBSURWAT,2034,126.892
RE1,DEMPUBSURWAT,2035,135.0141
RE1,DEMAGRSURWAT,2028,2.6021
RE1,DEMAGRSURWAT,2029,18.6251
RE1,DEMAGRSURWAT,2030,18.8714
RE1,DEMAGRSURWAT,2031,19.1299
RE1,DEMAGRSURWAT,2032,19.4014
RE1,DEMAGRSURWAT,2033,19.6865
RE1,DEMAGRSURWAT,2034,19.9858
RE1,DEMAGRSURWAT,2035,20.3001
RE1,DEMPWRSURWAT,2020,1.7883
RE1,DEMPWRSURWAT,2021,0.524
RE1,DEMAGRDSL,2020,0.0002
RE1,DEMAGRDSL,2021,0.0002
RE1,DEMAGRDSL,2022,0.0002
RE1,DEMAGRDSL,2023,0.0002
RE1,DEMAGRDSL,2024,0.0002
RE1,DEMAGRDSL,2025,0.0002
RE1,DEMAGRDSL,2026,0.0002
RE1,DEMAGRDSL,2027,0.0002
RE1,DEMAGRDSL,2028,0.0002
RE1,DEMAGRDSL,2029,0.0003
RE1,DEMAGRDSL,2030,0.0003
RE1,DEMAGRDSL,2031,0.0003
RE1,DEMAGRDSL,2032,0.0003
RE1,DEMAGRDSL,2033,0.0003
RE1,DEMAGRDSL,2034,0.0003
RE1,DEMAGRDSL,2035,0.0003
RE1,DEMTRABIO,2020,0.0001
RE1,DEMTRABIO,2021,0.0001
RE1,DEMTRABIO,2022,0.0001
RE1,DEMTRABIO,2023,0.0001
RE1,DEMTRABIO,2024,0.0001
RE1,DEMTRABIO,2025,0.0001
RE1,DEMTRABIO,2026,0.0001
RE1,DEMTRABIO,2027,0.0001
RE1,DEMTRABIO,2028,0.0001
RE1,DEMTRABIO,2029,0.0002
RE1,DEMTRABIO,2030,0.0002
RE1,DEMTRABIO,2031,0.0002
RE1,DEMTRABIO,2032,0.0002
RE1,DEMTRABIO,2033,0.0002
RE1,DEMTRABIO,2034,0.0002
RE1,DEMTRABIO,2035,0.0002
