REGION,TIMESLICE,FUEL,YEAR,VALUE
RE1,SD,ELC002,2020,50.868
RE1,SD,ELC002,2021,54.636
RE1,SD,ELC002,2022,59.346
RE1,SD,ELC002,2023,64.37
RE1,SD,ELC002,2024,69.394
RE1,SD,ELC002,2025,74.732
RE1,SD,ELC002,2026,80.698
RE1,SD,ELC002,2027,86.664
RE1,SD,ELC002,2028,92.944
RE1,SD,ELC002,2029,99.852
RE1,SD,ELC002,2030,107.074
RE1,SD,ELC002,2031,114.61
RE1,SD,ELC002,2032,122.774
RE1,SD,ELC002,2033,131.252
RE1,SD,ELC002,2034,140.358
RE1,SD,ELC002,2035,149.778
RE1,SD,PUBWAT,2020,0.439
RE1,SD,PUBWAT,2021,0.47
RE1,SD,PUBWAT,2022,0.5028
RE1,SD,PUBWAT,2023,0.5365
RE1,SD,PUBWAT,2024,0.5715
RE1,SD,PUBWAT,2025,0.6082
RE1,SD,PUBWAT,2026,0.6463
RE1,SD,PUBWAT,2027,0.6858
RE1,SD,PUBWAT,2028,0.7274
RE1,SD,PUBWAT,2029,0.7704
RE1,SD,PUBWAT,2030,0.8156
RE1,SD,PUBWAT,2031,0.8625
RE1,SD,PUBWAT,2032,0.9113
RE1,SD,PUBWAT,2033,0.9622
RE1,SD,PUBWAT,2034,1.0154
RE1,SD,PUBWAT,2035,1.0712
RE1,SN,ELC002,2020,18.954
RE1,SN,ELC002,2021,20.358
RE1,SN,ELC002,2022,22.113
RE1,SN,ELC002,2023,23.985
RE1,SN,ELC002,2024,25.857
RE1,SN,ELC002,2025,27.846
RE1,SN,ELC002,2026,30.069
RE1,SN,ELC002,2027,32.292
RE1,SN,ELC002,2028,34.632
RE1,SN,ELC002,2029,37.206
RE1,SN,ELC002,2030,39.897
RE1,SN,ELC002,2031,42.705
RE1,SN,ELC002,2032,45.747
RE1,SN,ELC002,2033,48.906
RE1,SN,ELC002,2034,52.299
RE1,SN,ELC002,2035,55.809
RE1,SN,PUBWAT,2020,0.0605
RE1,SN,PUBWAT,2021,0.0647
RE1,SN,PUBWAT,2022,0.0692
RE1,SN,PUBWAT,2023,0.0739
RE1,SN,PUBWAT,2024,0.0787
RE1,SN,PUBWAT,2025,0.0838
