REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,AGRDSL,DEMAGRDSL,2020,1,SD,0.6874
RE1,AGRDSL,DEMAGRDSL,2021,1,SD,0.7044
RE1,AGRDSL,DEMAGRDSL,2022,1,SD,0.722
RE1,AGRDSL,DEMAGRDSL,2023,1,SD,0.7395
RE1,AGRDSL,DEMAGRDSL,2024,1,SD,0.7575
RE1,AGRDSL,DEMAGRDSL,2025,1,SD,0.7786
RE1,AGRDSL,DEMAGRDSL,2026,1,SD,0.7968
RE1,AGRDSL,DEMAGRDSL,2027,1,SD,0.8152
RE1,AGRDSL,DEMAGRDSL,2028,1,SD,0.837
RE1,AGRDSL,DEMAGRDSL,2029,1,SD,0.859
RE1,AGRDSL,DEMAGRDSL,2030,1,SD,0.8813
RE1,AGRDSL,DEMAGRDSL,2031,1,SD,0.9037
RE1,AGRDSL,DEMAGRDSL,2032,1,SD,0.9264
RE1,AGRDSL,DEMAGRDSL,2033,1,SD,0.9492
RE1,AGRDSL,DEMAGRDSL,2034,1,SD,0.9721
RE1,AGRDSL,DEMAGRDSL,2035,1,SD,0.9954
RE1,AGRWAT,DEMAGRGWTWAT,2026,1,SD,0.0123
RE1,AGRWAT,DEMAGRGWTWAT,2027,1,SD,0.0364
RE1,AGRWAT,DEMAGRGWTWAT,2028,1,SD,0.0541
RE1,AGRWAT,DEMAGRGWTWAT,2029,1,SD,0.047
RE1,AGRWAT,DEMAGRGWTWAT,2030,1,SD,0.04
RE1,AGRWAT,DEMAGRGWTWAT,2031,1,SD,0.0306
RE1,AGRWAT,DEMAGRGWTWAT,2032,1,SD,0.0235
RE1,AGRWAT,DEMAGRGWTWAT,2033,1,SD,0.0165
RE1,AGRWAT,DEMAGRGWTWAT,2034,1,SD,0.0071
RE1,AGRWAT,DEMAGRSURWAT,2020,1,SD,0.1144
RE1,AGRWAT,DEMAGRSURWAT,2021,1,SD,0.1202
RE1,AGRWAT,DEMAGRSURWAT,2022,1,SD,0.1262
RE1,AGRWAT,DEMAGRSURWAT,2023,1,SD,0.1325
RE1,AGRWAT,DEMAGRSURWAT,2024,1,SD,0.1391
RE1,AGRWAT,DEMAGRSURWAT,2025,1,SD,0.1461
RE1,AGRWAT,DEMAGRSURWAT,2026,1,SD,0.1411
RE1,AGRWAT,DEMAGRSURWAT,2027,1,SD,0.1247
RE1,AGRWAT,DEMAGRSURWAT,2028,1,SD,0.115
RE1,AGRWAT,DEMAGRSURWAT,2029,1,SD,0.1305
RE1,AGRWAT,DEMAGRSURWAT,2030,1,SD,0.1465
RE1,AGRWAT,DEMAGRSURWAT,2031,1,SD,0.1652
RE1,AGRWAT,DEMAGRSURWAT,2032,1,SD,0.182
RE1,AGRWAT,DEMAGRSURWAT,2033,1,SD,0.1994
RE1,AGRWAT,DEMAGRSURWAT,2034,1,SD,0.2196
RE1,AGRWAT,DEMAGRSURWAT,2035,1,SD,0.238
RE1,PUBWAT,DEMPUBGWTWAT,2020,1,SD,0.1917
RE1,PUBWAT,DEMPUBGWTWAT,2021,1,SD,0.1749
RE1,PUBWAT,DEMPUBGWTWAT,2022,1,SD,0.1593
RE1,PUBWAT,DEMPUBGWTWAT,2023,1,SD,0.1409
RE1,PUBWAT,DEMPUBGWTWAT,2024,1,SD,0.125
RE1,PUBWAT,DEMPUBGWTWAT,2025,1,SD,0.1064
RE1,PUBWAT,DEMPUBGWTWAT,2026,1,SD,0.0903
RE1,PUBWAT,DEMPUBGWTWAT,2027,1,SD,0.0715
RE1,PUBWAT,DEMPUBGWTWAT,2028,1,SD,0.0553
RE1,PUBWAT,DEMPUBGWTWAT,2029,1,SD,0.0362
RE1,PUBWAT,DEMPUBGWTWAT,2030,1,SD,0.0197
RE1,PUBWAT,DEMPUBGWTWAT,2031,1,SD,0.0003
RE1,PUBWAT,DEMPUBSURWAT,2020,1,SD,0.2473
RE1,PUBWAT,DEMPUBSURWAT,2021,1,SD,0.2951
