REGION,TECHNOLOGY,YEAR,VALUE
RE1,MINCOA,2020,473.04
RE1,MINCOA,2021,473.04
RE1,MINCOA,2022,473.04
RE1,MINCOA,2023,473.04
RE1,MINCOA,2024,473.04
RE1,MINCOA,2025,473.04
RE1,MINCOA,2026,473.04
RE1,MINCOA,2027,473.04
RE1,MINCOA,2028,473.04
RE1,MINCOA,2029,473.04
RE1,MINCOA,2030,473.04
RE1,MINCOA,2031,473.04
RE1,MINCOA,2032,473.04
RE1,MINCOA,2033,473.04
RE1,MINCOA,2034,473.04
RE1,MINCOA,2035,473.04
RE1,MINGAS,2020,59.0832
RE1,MINGAS,2021,63.072
RE1,MINGAS,2022,63.072
RE1,MINGAS,2023,63.072
RE1,MINGAS,2024,63.072
RE1,MINGAS,2025,64.1305
RE1,MINGAS,2026,190.5008
RE1,MINGAS,2027,223.8668
RE1,MINGAS,2028,242.1912
RE1,MINGAS,2029,262.9461
RE1,MINGAS,2030,284.2647
RE1,MINGAS,2031,305.7719
RE1,MINGAS,2032,329.332
RE1,MINGAS,2033,353.3145
RE1,MINGAS,2034,381.1928
RE1,MINGAS,2035,409.1488
RE1,PWRCOA,2020,5
RE1,PWRCOA,2021,5
RE1,PWRCOA,2022,5
RE1,PWRCOA,2023,5
RE1,PWRCOA,2024,5
RE1,PWRCOA,2025,5
RE1,PWRCOA,2026,3.5
RE1,PWRCOA,2027,3.5
RE1,PWRCOA,2028,3.5
RE1,PWRCOA,2029,3.5
RE1,PWRCOA,2030,3.5
RE1,PWRCOA,2031,3.5
RE1,PWRCOA,2032,3.5
RE1,PWRCOA,2033,3.5
RE1,PWRCOA,2034,3.5
RE1,PWRCOA,2035,3.5
RE1,PWRGAS,2020,1
RE1,PWRGAS,2021,1
RE1,PWRGAS,2022,1
RE1,PWRGAS,2023,1
RE1,PWRGAS,2024,1
RE1,PWRGAS,2025,1.0168
RE1,PWRGAS,2026,3.0204
RE1,PWRGAS,2027,3.5494
RE1,PWRGAS,2028,3.8399
RE1,PWRGAS,2029,4.169
RE1,PWRGAS,2030,4.507
RE1,PWRGAS,2031,4.848
RE1,PWRGAS,2032,5.2215
RE1,PWRGAS,2033,5.6018
RE1,PWRGAS,2034,6.0438
RE1,PWRGAS,2035,6.487
RE1,PWRTRN,2020,7.709
RE1,PWRTRN,2021,8.1517
RE1,PWRTRN,2022,8.5008
RE1,PWRTRN,2023,8.8796
RE1,PWRTRN,2024,9.2291
RE1,PWRTRN,2025,9.6252
RE1,PWRTRN,2026,10.5134
RE1,PWRTRN,2027,11.4042
RE1,PWRTRN,2028,12.0609
RE1,PWRTRN,2029,12.7523
RE1,PWRTRN,2030,13.4615
RE1,PWRTRN,2031,14.188
RE1,PWRTRN,2032,14.947
RE1,PWRTRN,2033,15.722
RE1,PWRTRN,2034,16.5347
RE1,PWRTRN,2035,17.3634
RE1,RSCWND,2020,13.2451
RE1,RSCWND,2021,26.4902
RE1,RSCWND,2022,39.7354
RE1,RSCWND,2023,52.9805
RE1,RSCWND,2024,66.2256
RE1,RSCWND,2025,79.4707
RE1,RSCWND,2026,92.7158
RE1,RSCWND,2027,105.961
RE1,RSCWND,2028,119.2061
RE1,RSCWND,2029,132.4512
RE1,RSCWND,2030,145.6963
RE1,RSCWND,2031,158.9414
RE1,RSCWND,2032,172.1866
RE1,RSCWND,2033,185.4317
RE1,RSCWND,2034,198.6768
RE1,RSCWND,2035,211.9219
RE1,RSCSOL,2021,3.9578
RE1,RSCSOL,2022,15.4863
RE1,RSCSOL,2023,27.5637
RE1,RSCSOL,2024,40.6179
RE1,RSCSOL,2025,53.7013
RE1,RSCSOL,2026,53.7013
RE1,RSCSOL,2027,53.7013
RE1,RSCSOL,2028,62.8691
RE1,RSCSOL,2029,73.896
RE1,RSCSOL,2030,85.8977
RE1,RSCSOL,2031,98.8212
RE1,RSCSOL,2032,113.7363
RE1,RSCSOL,2033,129.648
RE1,RSCSOL,2034,147.4044
RE1,RSCSOL,2035,166.1426
RE1,RSCHYD,2020,109.7642
RE1,RSCHYD,2021,109.7642
RE1,RSCHYD,2022,109.7642
RE1,RSCHYD,2023,109.7642
RE1,RSCHYD,2024,109.7642
RE1,RSCHYD,2025,109.7642
RE1,RSCHYD,2026,109.7642
RE1,RSCHYD,2027,109.7642
RE1,RSCHYD,2028,109.7642
RE1,RSCHYD,2029,109.7642
RE1,RSCHYD,2030,109.7642
RE1,RSCHYD,2031,109.7642
RE1,RSCHYD,2032,109.7642
RE1,RSCHYD,2033,109.7642
RE1,RSCHYD,2034,109.7642
RE1,RSCHYD,2035,109.7642
RE1,PWRWND,2020,1
RE1,PWRWND,2021,2
RE1,PWRWND,2022,3
RE1,PWRWND,2023,4
RE1,PWRWND,2024,5
RE1,PWRWND,2025,6
RE1,PWRWND,2026,7
RE1,PWRWND,2027,8
RE1,PWRWND,2028,9
RE1,PWRWND,2029,10
RE1,PWRWND,2030,11
RE1,PWRWND,2031,12
RE1,PWRWND,2032,13
RE1,PWRWND,2033,14
RE1,PWRWND,2034,15
RE1,PWRWND,2035,16
RE1,PWRSOL,2021,0.4048
RE1,PWRSOL,2022,1.5841
RE1,PWRSOL,2023,2.8195
RE1,PWRSOL,2024,4.1548
RE1,PWRSOL,2025,5.4931
RE1,PWRSOL,2026,5.4931
RE1,PWRSOL,2027,5.4931
RE1,PWRSOL,2028,6.4309
RE1,PWRSOL,2029,7.5588
RE1,PWRSOL,2030,8.7864
RE1,PWRSOL,2031,10.1084
RE1,PWRSOL,2032,11.634
RE1,PWRSOL,2033,13.2616
RE1,PWRSOL,2034,15.078
RE1,PWRSOL,2035,16.9947
RE1,PWRHYD,2020,3
RE1,PWRHYD,2021,3
RE1,PWRHYD,2022,3
RE1,PWRHYD,2023,3
RE1,PWRHYD,2024,3
RE1,PWRHYD,2025,3
RE1,PWRHYD,2026,3
RE1,PWRHYD,2027,3
RE1,PWRHYD,2028,3
RE1,PWRHYD,2029,3
RE1,PWRHYD,2030,3
RE1,PWRHYD,2031,3
RE1,PWRHYD,2032,3
RE1,PWRHYD,2033,3
RE1,PWRHYD,2034,3
RE1,PWRHYD,2035,3
RE1,RSCLND,2020,300
RE1,RSCLND,2021,300
RE1,RSCLND,2022,300
RE1,RSCLND,2023,300
RE1,RSCLND,2024,300
RE1,RSCLND,2025,300
RE1,RSCLND,2026,300
RE1,RSCLND,2027,300
RE1,RSCLND,2028,300
RE1,RSCLND,2029,300
RE1,RSCLND,2030,300
RE1,RSCLND,2031,300
RE1,RSCLND,2032,300
RE1,RSCLND,2033,300
RE1,RSCLND,2034,300
RE1,RSCLND,2035,300
RE1,LNDMAIRNF,2020,4.1
RE1,LNDMAIRNF,2021,4.1872
RE1,LNDMAIRNF,2022,4.2912
RE1,LNDMAIRNF,2023,4.391
RE1,LNDMAIRNF,2024,4.4926
RE1,LNDMAIRNF,2025,4.6247
RE1,LNDMAIRNF,2026,4.7235
RE1,LNDMAIRNF,2027,4.8237
RE1,LNDMAIRNF,2028,4.9544
RE1,LNDMAIRNF,2029,5.0834
RE1,LNDMAIRNF,2030,5.2137
RE1,LNDMAIRNF,2031,5.3422
RE1,LNDMAIRNF,2032,5.4689
RE1,LNDMAIRNF,2033,5.5936
RE1,LNDMAIRNF,2034,5.7162
RE1,LNDMAIRNF,2035,5.8396
RE1,LNDRICRNF,2020,1.423
RE1,LNDRICRNF,2021,1.4692
RE1,LNDRICRNF,2022,1.4927
RE1,LNDRICRNF,2023,1.516
RE1,LNDRICRNF,2024,1.5671
RE1,LNDRICRNF,2025,1.589
RE1,LNDRICRNF,2026,1.6103
RE1,LNDRICRNF,2027,1.629
RE1,LNDRICRNF,2028,1.6465
RE1,LNDRICRNF,2029,1.6627
RE1,LNDRICRNF,2030,1.7101
RE1,LNDRICRNF,2031,1.7216
RE1,LNDRICRNF,2032,1.7307
RE1,LNDRICRNF,2033,1.7369
RE1,LNDRICRNF,2034,1.7376
RE1,LNDRICRNF,2035,1.7344
RE1,LNDMAIIRR,2020,0.339
RE1,LNDMAIIRR,2021,0.356
RE1,LNDMAIIRR,2022,0.3737
RE1,LNDMAIIRR,2023,0.3924
RE1,LNDMAIIRR,2024,0.4121
RE1,LNDMAIIRR,2025,0.4327
RE1,LNDMAIIRR,2026,0.4543
RE1,LNDMAIIRR,2027,0.477
RE1,LNDMAIIRR,2028,0.5009
RE1,LNDMAIIRR,2029,0.5259
RE1,LNDMAIIRR,2030,0.5522
RE1,LNDMAIIRR,2031,0.5798
RE1,LNDMAIIRR,2032,0.6088
RE1,LNDMAIIRR,2033,0.6392
RE1,LNDMAIIRR,2034,0.6712
RE1,LNDMAIIRR,2035,0.7048
RE1,LNDRICIRR,2020,0.531
RE1,LNDRICIRR,2021,0.5576
RE1,LNDRICIRR,2022,0.5854
RE1,LNDRICIRR,2023,0.6147
RE1,LNDRICIRR,2024,0.6454
RE1,LNDRICIRR,2025,0.6777
RE1,LNDRICIRR,2026,0.7116
RE1,LNDRICIRR,2027,0.7472
RE1,LNDRICIRR,2028,0.7845
RE1,LNDRICIRR,2029,0.8238
RE1,LNDRICIRR,2030,0.8649
RE1,LNDRICIRR,2031,0.9082
RE1,LNDRICIRR,2032,0.9536
RE1,LNDRICIRR,2033,1.0013
RE1,LNDRICIRR,2034,1.0513
RE1,LNDRICIRR,2035,1.1039
RE1,LNDFOR,2020,253.6
RE1,LNDFOR,2021,253.6
RE1,LNDFOR,2022,253.6
RE1,LNDFOR,2023,253.6
RE1,LNDFOR,2024,253.6
RE1,LNDFOR,2025,253.6
RE1,LNDFOR,2026,253.6
RE1,LNDFOR,2027,253.6
RE1,LNDFOR,2028,253.6
RE1,LNDFOR,2029,253.6
RE1,LNDFOR,2030,253.6
RE1,LNDFOR,2031,253.6
RE1,LNDFOR,2032,253.6
RE1,LNDFOR,2033,253.6
RE1,LNDFOR,2034,253.6
RE1,LNDFOR,2035,253.6
RE1,LNDBLT,2020,15
RE1,LNDBLT,2021,15.15
RE1,LNDBLT,2022,15.3
RE1,LNDBLT,2023,15.45
RE1,LNDBLT,2024,15.61
RE1,LNDBLT,2025,15.77
RE1,LNDBLT,2026,15.92
RE1,LNDBLT,2027,16.08
RE1,LNDBLT,2028,16.24
RE1,LNDBLT,2029,16.41
RE1,LNDBLT,2030,16.57
RE1,LNDBLT,2031,16.74
RE1,LNDBLT,2032,16.9
RE1,LNDBLT,2033,17.07
RE1,LNDBLT,2034,17.24
RE1,LNDBLT,2035,17.41
RE1,LNDWAT,2020,25.021
RE1,LNDWAT,2021,25.8597
RE1,LNDWAT,2022,26.6546
RE1,LNDWAT,2023,27.4447
RE1,LNDWAT,2024,28.3378
RE1,LNDWAT,2025,29.2404
RE1,LNDWAT,2026,30.0415
RE1,LNDWAT,2027,34.0167
RE1,LNDWAT,2028,34.0167
RE1,LNDWAT,2029,35.9474
RE1,LNDWAT,2030,35.9474
RE1,LNDWAT,2031,35.9474
RE1,LNDWAT,2032,35.9474
RE1,LNDWAT,2033,39.7548
RE1,LNDWAT,2034,39.7548
RE1,LNDWAT,2035,39.7548
RE1,RSCPRC,2020,360
RE1,RSCPRC,2021,360
RE1,RSCPRC,2022,360
RE1,RSCPRC,2023,360
RE1,RSCPRC,2024,360
RE1,RSCPRC,2025,360
RE1,RSCPRC,2026,360
RE1,RSCPRC,2027,360
RE1,RSCPRC,2028,360
RE1,RSCPRC,2029,360
RE1,RSCPRC,2030,360
RE1,RSCPRC,2031,360
RE1,RSCPRC,2032,360
RE1,RSCPRC,2033,360
RE1,RSCPRC,2034,360
RE1,RSCPRC,2035,360
RE1,DEMPUBSURWAT,2020,0.92
RE1,DEMPUBSURWAT,2021,1.0978
RE1,DEMPUBSURWAT,2022,1.278
RE1,DEMPUBSURWAT,2023,1.4718
RE1,DEMPUBSURWAT,2024,1.6609
RE1,DEMPUBSURWAT,2025,1.867
RE1,DEMPUBSURWAT,2026,2.0684
RE1,DEMPUBSURWAT,2027,2.2851
RE1,DEMPUBSURWAT,2028,2.5005
RE1,DEMPUBSURWAT,2029,2.7313
RE1,DEMPUBSURWAT,2030,2.9609
RE1,DEMPUBSURWAT,2031,3.2075
RE1,DEMPUBSURWAT,2032,3.4511
RE1,DEMPUBSURWAT,2033,3.7135
RE1,DEMPUBSURWAT,2034,3.9748
RE1,DEMPUBSURWAT,2035,4.2566
RE1,DEMPUBGWTWAT,2020,0.83
