REGION,FUEL,TECHNOLOGY,YEAR,MODE_OF_OPERATION,TIMESLICE,VALUE
RE1,ELC002,DEMAGRGWTWAT,2026,1,SD,0.0189
RE1,ELC002,DEMAGRGWTWAT,2027,1,SD,0.0562
RE1,ELC002,DEMAGRGWTWAT,2028,1,SD,0.0835
RE1,ELC002,DEMAGRGWTWAT,2029,1,SD,0.0726
RE1,ELC002,DEMAGRGWTWAT,2030,1,SD,0.0617
RE1,ELC002,DEMAGRGWTWAT,2031,1,SD,0.0472
RE1,ELC002,DEMAGRGWTWAT,2032,1,SD,0.0363
RE1,ELC002,DEMAGRGWTWAT,2033,1,SD,0.0254
RE1,ELC002,DEMAGRGWTWAT,2034,1,SD,0.0109
RE1,ELC002,DEMAGRSURWAT,2020,1,SD,0.1406
RE1,ELC002,DEMAGRSURWAT,2021,1,SD,0.1477
RE1,ELC002,DEMAGRSURWAT,2022,1,SD,0.155
RE1,ELC002,DEMAGRSURWAT,2023,1,SD,0.1628
RE1,ELC002,DEMAGRSURWAT,2024,1,SD,0.1709
RE1,ELC002,DEMAGRSURWAT,2025,1,SD,0.1795
RE1,ELC002,DEMAGRSURWAT,2026,1,SD,0.1734
RE1,ELC002,DEMAGRSURWAT,2027,1,SD,0.1531
RE1,ELC002,DEMAGRSURWAT,2028,1,SD,0.1413
RE1,ELC002,DEMAGRSURWAT,2029,1,SD,0.1603
RE1,ELC002,DEMAGRSURWAT,2030,1,SD,0.1799
RE1,ELC002,DEMAGRSURWAT,2031,1,SD,0.2029
RE1,ELC002,DEMAGRSURWAT,2032,1,SD,0.2236
RE1,ELC002,DEMAGRSURWAT,2033,1,SD,0.2449
RE1,ELC002,DEMAGRSURWAT,2034,1,SD,0.2697
RE1,ELC002,DEMAGRSURWAT,2035,1,SD,0.2923
RE1,WTRSUR,DEMAGRSURWAT,2020,1,SD,0.1635
RE1,WTRSUR,DEMAGRSURWAT,2021,1,SD,0.1717
RE1,WTRSUR,DEMAGRSURWAT,2022,1,SD,0.1803
RE1,WTRSUR,DEMAGRSURWAT,2023,1,SD,0.1893
RE1,WTRSUR,DEMAGRSURWAT,2024,1,SD,0.1987
RE1,WTRSUR,DEMAGRSURWAT,2025,1,SD,0.2087
RE1,WTRSUR,DEMAGRSURWAT,2026,1,SD,0.2016
RE1,WTRSUR,DEMAGRSURWAT,2027,1,SD,0.1781
RE1,WTRSUR,DEMAGRSURWAT,2028,1,SD,0.1643
RE1,WTRSUR,DEMAGRSURWAT,2029,1,SD,0.1864
RE1,WTRSUR,DEMAGRSURWAT,2030,1,SD,0.2092
RE1,WTRSUR,DEMAGRSURWAT,2031,1,SD,0.236
RE1,WTRSUR,DEMAGRSURWAT,2032,1,SD,0.26
