REGION,TECHNOLOGY,YEAR,VALUE
RE1,IMPCOA,2020,9.43
RE1,IMPCOA,2021,10.021
RE1,IMPCOA,2022,11.3996
RE1,IMPCOA,2023,12.7782
RE1,IMPCOA,2024,14.1568
RE1,IMPCOA,2025,15.5353
RE1,IMPCOA,2026,16.9139
RE1,IMPCOA,2027,18.2925
RE1,IMPCOA,2028,19.6711
RE1,IMPCOA,2029,21.0497
RE1,IMPCOA,2030,22.4283
RE1,IMPCOA,2031,23.8069
RE1,IMPCOA,2032,25.1854
RE1,IMPCOA,2033,26.564
RE1,IMPCOA,2034,27.9426
RE1,IMPCOA,2035,29.3212
RE1,IMPCOA,2036,30.6998
RE1,IMPCOA,2037,32.0784
RE1,IMPCOA,2038,33.457
RE1,IMPCOA,2039,34.8356
RE1,IMPCOA,2040,36.2141
RE1,IMPCOA,2041,37.5927
RE1,IMPCOA,2042,38.9713
RE1,IMPCOA,2043,40.3499
RE1,IMPCOA,2044,41.7285
RE1,IMPCOA,2045,43.1071
RE1,IMPCOA,2046,44.4857
RE1,IMPCOA,2047,45.8642
RE1,IMPCOA,2048,47.2428
RE1,IMPCOA,2049,48.6214
RE1,IMPCOA,2050,50
RE1,IMPDSL,2020,15.1711
RE1,IMPDSL,2021,15.5008
RE1,IMPDSL,2022,94.4032
RE1,IMPDSL,2023,98.9289
RE1,IMPDSL,2024,103.6711
RE1,IMPDSL,2025,108.6794
RE1,IMPDSL,2026,113.9055
RE1,IMPDSL,2027,135.1082
RE1,IMPDSL,2028,160.6584
RE1,IMPDSL,2029,191.119
RE1,IMPDSL,2030,214.054
RE1,IMPDSL,2031,243.9653
RE1,IMPDSL,2032,272.228
RE1,IMPDSL,2033,304.0726
RE1,IMPDSL,2034,335.2833
RE1,IMPDSL,2035,369.7233
RE1,IMPDSL,2036,407.6841
RE1,IMPDSL,2037,448.6935
RE1,IMPDSL,2038,495.0367
RE1,IMPDSL,2039,544.1667
RE1,IMPDSL,2040,537.4997
RE1,IMPDSL,2041,563.7177
RE1,IMPDSL,2042,606.2093
RE1,IMPDSL,2043,646.1284
RE1,IMPDSL,2044,681.8421
RE1,IMPDSL,2045,687.0609
RE1,IMPDSL,2046,687.2984
RE1,IMPDSL,2047,641.1741
RE1,IMPDSL,2048,637.2137
RE1,IMPDSL,2049,633.048
RE1,IMPDSL,2050,628.6518
RE1,MINBIO,2020,1553.4504
RE1,MINBIO,2021,1594.4074
RE1,MINBIO,2022,1611.817
RE1,MINBIO,2023,1629.3043
RE1,MINBIO,2024,1646.8485
RE1,MINBIO,2025,1664.4312
RE1,MINBIO,2026,1680.939
RE1,MINBIO,2027,1697.699
RE1,MINBIO,2028,1714.5095
RE1,MINBIO,2029,1731.3405
RE1,MINBIO,2030,1748.1777
RE1,MINBIO,2031,1740.3228
RE1,MINBIO,2032,1732.8244
RE1,MINBIO,2033,1725.6537
RE1,MINBIO,2034,1718.8047
RE1,MINBIO,2035,1732.2551
RE1,MINBIO,2036,1728.1244
RE1,MINBIO,2037,1724.2018
RE1,MINBIO,2038,1720.5732
RE1,MINBIO,2039,1717.3412
RE1,MINBIO,2040,1714.6154
RE1,MINBIO,2041,1705.7351
RE1,MINBIO,2042,1705.1504
RE1,MINBIO,2043,1705.8714
RE1,MINBIO,2044,1703.7281
RE1,MINBIO,2045,1704.5881
RE1,MINBIO,2046,1707.6713
RE1,MINBIO,2047,1702.3202
RE1,MINBIO,2048,1712.2046
RE1,MINBIO,2049,1725.3965
RE1,MINBIO,2050,1734.3541
RE1,MINGEO,2020,0.2446
RE1,MINGEO,2021,0.2345
RE1,MINGEO,2022,0.7205
RE1,MINGEO,2023,2.5998
RE1,MINGEO,2024,2.5998
RE1,MINGEO,2025,2.5998
RE1,MINGEO,2026,2.5998
RE1,MINGEO,2027,2.5998
RE1,MINGEO,2028,2.5998
RE1,MINGEO,2029,2.5998
RE1,MINGEO,2030,2.5998
RE1,MINGEO,2031,2.5998
RE1,MINGEO,2032,2.5998
RE1,MINGEO,2033,2.5998
RE1,MINGEO,2034,3.0867
RE1,MINGEO,2035,3.704
RE1,MINGEO,2036,4.4448
RE1,MINGEO,2037,5.3338
RE1,MINGEO,2038,6.4006
RE1,MINGEO,2039,7.6807
RE1,MINGEO,2040,7.6807
RE1,MINGEO,2041,11.0602
RE1,MINGEO,2042,13.2722
RE1,MINGEO,2043,15.9267
RE1,MINGEO,2044,17.8815
RE1,MINGEO,2045,22.3559
RE1,MINGEO,2046,27.5213
RE1,MINGEO,2047,33.0256
RE1,MINGEO,2048,39.6307
RE1,MINGEO,2049,47.5568
RE1,MINGEO,2050,57.0682
RE1,PWRGEO,2020,0.0073
RE1,PWRGEO,2021,0.007
RE1,PWRGEO,2022,0.0215
RE1,PWRGEO,2023,0.0776
RE1,PWRGEO,2024,0.0776
RE1,PWRGEO,2025,0.0776
RE1,PWRGEO,2026,0.0776
RE1,PWRGEO,2027,0.0776
RE1,PWRGEO,2028,0.0776
RE1,PWRGEO,2029,0.0776
